# Generated by tools/extract_herbs.rb from eherbs.lic's known_herbs.
# Do not hand-edit: re-run the tool.
# source	reference/scripts/scripts/eherbs.lic
# source-commit	7fd0b97 2026-09-17
# source-version	2.2.1
# herbs	247
name	short_name	type	store_doses	locations
bunch of sovyn clove	bunch of sovyn clove	severed limb	50	Do Not Buy
tincture of acantha	tincture of acantha	blood	10	the city of Ta'Vaalor
tincture of ambrominas	tincture of ambrominas	minor limb wound	4	the city of Ta'Vaalor
tincture of wolifrew	tincture of wolifrew	minor nerve wound	4	the city of Ta'Vaalor
tincture of rose-marrow	tincture of rose-marrow	minor head wound	4	the city of Ta'Vaalor
tincture of basal	tincture of basal	minor organ wound	4	the city of Ta'Vaalor
tincture of ephlox	tincture of ephlox	major limb wound	4	the city of Ta'Vaalor
tincture of bolmara	tincture of bolmara	major nerve wound	4	the city of Ta'Vaalor
tincture of aloeas	tincture of aloeas	major head wound	2	the city of Ta'Vaalor
tincture of pothinir	tincture of pothinir	major organ wound	2	the city of Ta'Vaalor
tincture of cactacae	tincture of cactacae	minor limb scar	4	the city of Ta'Vaalor
tincture of torban	tincture of torban	minor nerve scar	3	the city of Ta'Vaalor
tincture of haphip	tincture of haphip	minor head scar	4	the city of Ta'Vaalor
tincture of talneo	tincture of talneo	minor organ scar	4	the city of Ta'Vaalor
tincture of calamia	tincture of calamia	major limb scar	2	the city of Ta'Vaalor
tincture of woth	tincture of woth	major nerve scar	2	the city of Ta'Vaalor
tincture of brostheras	tincture of brostheras	major head scar	2	the city of Ta'Vaalor
tincture of wingstem	tincture of wingstem	major organ scar	2	the city of Ta'Vaalor
tincture of bur-clover	tincture of bur-clover	missing eye	1	the city of Ta'Vaalor
tincture of sovyn	tincture of sovyn	severed limb	1	the city of Ta'Vaalor
grey mushroom potion	grey mushroom potion	blood	7	Zul Logoth|the tunnels and caverns of Zul Logoth
green mushroom potion	green mushroom potion	blood	5	Zul Logoth|the tunnels and caverns of Zul Logoth
bubbling brown ale	bubbling brown ale	minor limb wound	3	Zul Logoth|the tunnels and caverns of Zul Logoth
thick foggy ale	thick foggy ale	minor nerve wound	3	Zul Logoth|the tunnels and caverns of Zul Logoth
rusty red ale	rusty red ale	minor head wound	3	Zul Logoth|the tunnels and caverns of Zul Logoth
chunky black ale	chunky black ale	minor organ wound	3	Zul Logoth|the tunnels and caverns of Zul Logoth
crushed cavegrass tea	crushed cavegrass tea	major limb wound	2	Zul Logoth|the tunnels and caverns of Zul Logoth
glowing mold tea	glowing mold tea	major nerve wound	2	Zul Logoth|the tunnels and caverns of Zul Logoth
sticky lichen tea	sticky lichen tea	major head wound	2	Zul Logoth|the tunnels and caverns of Zul Logoth
roasted ratweed tea	roasted ratweed tea	major organ wound	2	Zul Logoth|the tunnels and caverns of Zul Logoth
spotted toadstool ale	spotted toadstool ale	minor limb scar	2	Zul Logoth|the tunnels and caverns of Zul Logoth
dark frothing ale	dark frothing ale	minor nerve scar	2	Zul Logoth|the tunnels and caverns of Zul Logoth
dull crimson ale	dull crimson ale	minor head scar	2	Zul Logoth|the tunnels and caverns of Zul Logoth
brown weedroot ale	brown weedroot ale	minor organ scar	2	Zul Logoth|the tunnels and caverns of Zul Logoth
stalactite brew	stalactite brew	major limb scar	2	Zul Logoth|the tunnels and caverns of Zul Logoth
stalagmite brew	stalagmite brew	major nerve scar	2	Zul Logoth|the tunnels and caverns of Zul Logoth
stone soot brew	stone soot brew	major head scar	2	Zul Logoth|the tunnels and caverns of Zul Logoth
dirty crevice brew	dirty crevice brew	major organ scar	2	Zul Logoth|the tunnels and caverns of Zul Logoth
dirty rat fur potion	dirty rat fur potion	missing eye	1	Zul Logoth|the tunnels and caverns of Zul Logoth
grainy black potion	grainy black potion	severed limb	1	Zul Logoth|the tunnels and caverns of Zul Logoth
milky white potion	milky white potion	lifekeep	3	Zul Logoth|the tunnels and caverns of Zul Logoth
tincture of acantha	tincture of acantha	blood	10	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of ambrominas	tincture of ambrominas	minor limb wound	4	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of wolifrew	tincture of wolifrew	minor nerve wound	4	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of rose-marrow	tincture of rose-marrow	minor head wound	4	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of basal	tincture of basal	minor organ wound	4	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of ephlox	tincture of ephlox	major limb wound	4	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of bolmara	tincture of bolmara	major nerve wound	4	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of aloeas	tincture of aloeas	major head wound	2	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of pothinir	tincture of pothinir	major organ wound	2	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of cactacae	tincture of cactacae	minor limb scar	4	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of torban	tincture of torban	minor nerve scar	3	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of haphip	tincture of haphip	minor head scar	4	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of talneo	tincture of talneo	minor organ scar	4	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of calamia	tincture of calamia	major limb scar	2	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of woth	tincture of woth	major nerve scar	2	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of brostheras	tincture of brostheras	major head scar	2	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of wingstem	tincture of wingstem	major organ scar	2	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of bur-clover	tincture of bur-clover	missing eye	1	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of sovyn	tincture of sovyn	severed limb	1	Cysaegir|the village of Cysaegir|the hamlet of Ravelin
tincture of acantha	tincture of acantha	blood	20	Ta'Illistim
tincture of wolifrew	tincture of wolifrew	minor nerve wound	20	Ta'Illistim
tincture of torban	tincture of torban	minor nerve scar	10	Ta'Illistim
tincture of woth	tincture of woth	major nerve scar	10	Ta'Illistim
tincture of ambrominas	tincture of ambrominas	minor limb wound	20	Ta'Illistim
tincture of basal	tincture of basal	minor organ wound	20	Ta'Illistim
tincture of ephlox	tincture of ephlox	major limb wound	20	Ta'Illistim
tincture of pothinir	tincture of pothinir	major organ wound	10	Ta'Illistim
tincture of aloeas	tincture of aloeas	major head wound	10	Ta'Illistim
tincture of rose-marrow	tincture of rose-marrow	minor head wound	20	Ta'Illistim
tincture of cactacae	tincture of cactacae	minor limb scar	10	Ta'Illistim
tincture of calamia	tincture of calamia	major limb scar	10	Ta'Illistim
tincture of haphip	tincture of haphip	minor head scar	10	Ta'Illistim
tincture of brostheras	tincture of brostheras	major head scar	10	Ta'Illistim
tincture of bolmara	tincture of bolmara	major nerve wound	20	Ta'Illistim
tincture of talneo	tincture of talneo	minor organ scar	10	Ta'Illistim
tincture of bur-clover	tincture of bur-clover	missing eye	10	Ta'Illistim
tincture of wingstem	tincture of wingstem	major organ scar	10	Ta'Illistim
tincture of sovyn	tincture of sovyn	severed limb	10	Ta'Illistim
flagon of Olak's Ol'style ale	Olak's Ol'style ale	blood	3	the town of Kharam-Dzu
barrel of Olak's Ol'style ale	Olak's Ol'style ale	blood	10	the town of Kharam-Dzu
flagon of Lost Dogwater ale	Lost Dogwater ale	minor limb wound	3	the town of Kharam-Dzu
barrel of Lost Dogwater ale	Lost Dogwater ale	minor limb wound	10	the town of Kharam-Dzu
flagon of Orc's Head ale	Orc's Head ale	minor nerve wound	3	the town of Kharam-Dzu
barrel of Orc's Head ale	Orc's Head ale	minor nerve wound	10	the town of Kharam-Dzu
flagon of Semak's Smooth ale	Semak's Smooth ale	minor head wound	3	the town of Kharam-Dzu
barrel of Semak's Smooth ale	Semak's Smooth ale	minor head wound	3	the town of Kharam-Dzu
flagon of Mama Dwarf's ale	Mama Dwarf's ale	minor organ wound	3	the town of Kharam-Dzu
barrel of Mama Dwarf's ale	Mama Dwarf's ale	minor organ wound	10	the town of Kharam-Dzu
flagon of Bloody Krolvin ale	Bloody Krolvin ale	blood	3	the town of Kharam-Dzu
barrel of Bloody Krolvin ale	Bloody Krolvin ale	blood	10	the town of Kharam-Dzu
flagon of Golden Goose ale	Golden Goose ale	major limb wound	3	the town of Kharam-Dzu
barrel of Golden Goose ale	Golden Goose ale	major limb wound	10	the town of Kharam-Dzu
flagon of Kenar's Dropjaw ale	Kenar's Dropjaw ale	major nerve wound	3	the town of Kharam-Dzu
barrel of Kenar's Dropjaw ale	Kenar's Dropjaw ale	major nerve wound	10	the town of Kharam-Dzu
flagon of Dark Swampwater ale	Dark Swampwater ale	major head wound	3	the town of Kharam-Dzu
barrel of Dark Swampwater ale	Dark Swampwater ale	major head wound	10	the town of Kharam-Dzu
flagon of Aged Schooner ale	Aged Schooner ale	major organ wound	3	the town of Kharam-Dzu
barrel of Aged Schooner ale	Aged Schooner ale	major organ wound	10	the town of Kharam-Dzu
flagon of Bearded Ladies' ale	Bearded Ladies' ale	minor limb scar	3	the town of Kharam-Dzu
barrel of Bearded Ladies' ale	Bearded Ladies' ale	minor limb scar	10	the town of Kharam-Dzu
flagon of Miner's Muddy ale	Miner's Muddy ale	minor nerve scar	3	the town of Kharam-Dzu
barrel of Miner's Muddy ale	Miner's Muddy ale	minor nerve scar	10	the town of Kharam-Dzu
flagon of Agrak's Amber ale	Agrak's Amber ale	minor head scar	3	the town of Kharam-Dzu
barrel of Agrak's Amber ale	Agrak's Amber ale	minor head scar	10	the town of Kharam-Dzu
flagon of Gert's Homemade ale	Gert's Homemade ale	minor organ scar	3	the town of Kharam-Dzu
barrel of Gert's Homemade ale	Gert's Homemade ale	minor organ scar	10	the town of Kharam-Dzu
flagon of Mad Mutt Frothy ale	Mad Mutt Frothy ale	major limb scar	3	the town of Kharam-Dzu
barrel of Mad Mutt Frothy ale	Mad Mutt Frothy ale	major limb scar	10	the town of Kharam-Dzu
flagon of Dacra's Dream ale	Dacra's Dream ale	major nerve scar	3	the town of Kharam-Dzu
barrel of Dacra's Dream ale	Dacra's Dream ale	major nerve scar	10	the town of Kharam-Dzu
flagon of Reaper's Red ale	Reaper's Red ale	major head scar	3	the town of Kharam-Dzu
barrel of Reaper's Red ale	Reaper's Red ale	major head scar	10	the town of Kharam-Dzu
barrel of Reaper's Red ale	Reaper's Red ale	major head scar	10	the town of Kharam-Dzu
flagon of Wort's Winter ale	Wort's Winter ale	major organ scar	3	the town of Kharam-Dzu
barrel of Wort's Winter ale	Wort's Winter ale	major organ scar	10	the town of Kharam-Dzu
flagon of Volcano Vision ale	Volcano Vision ale	missing eye	3	the town of Kharam-Dzu
barrel of Volcano Vision ale	Volcano Vision ale	missing eye	10	the town of Kharam-Dzu
flagon of Captn' Pegleg's ale	Captn' Pegleg's ale	severed limb	3	the town of Kharam-Dzu
barrel of Captn' Pegleg's ale	Captn' Pegleg's ale	severed limb	10	the town of Kharam-Dzu
flagon of Dead Man's Pale ale	Dead Man's Pale ale	lifekeep	3	the town of Kharam-Dzu
barrel of Dead Man's Pale ale	Dead Man's Pale ale	lifekeep	10	the town of Kharam-Dzu
flagon of Dragon's Blood porter	Dragon's Blood porter	raisedead	1	the town of Kharam-Dzu
Dabbings Family special tart	Family special tart	minor limb wound	10	Icemule Trace|the Hinterwilds
Leaftoe's lichen tart	lichen tart	minor nerve wound	10	Icemule Trace|the Hinterwilds
candied ptarmigan feather	ptarmigan feather	severed limb	1	Icemule Trace|the Hinterwilds
earthworm potion	earthworm potion	major organ scar	2	Icemule Trace|the Hinterwilds
elk horn potion	elk horn potion	minor head wound	4	Icemule Trace|the Hinterwilds
gelatinous elk fat tart	elk fat tart	minor limb scar	10	Icemule Trace|the Hinterwilds
iceberry tart	iceberry tart	blood	10	Icemule Trace|the Hinterwilds
rock lizard potion	rock lizard potion	minor organ scar	4	Icemule Trace|the Hinterwilds
slice of Ma Leaftoe's Special	Ma Leaftoe's Special	minor nerve scar	5	Icemule Trace|the Hinterwilds
slice of pickled walrus blubber	pickled walrus blubber	major limb scar	2	Icemule Trace|the Hinterwilds
slice of sparrowhawk pie	sparrowhawk pie	minor head scar	5	Icemule Trace|the Hinterwilds
small egg and tundra grass tart	tundra grass tart	minor organ wound	5	Icemule Trace|the Hinterwilds
snowflake elixir	snowflake elixir	major nerve wound	4	Icemule Trace|the Hinterwilds
some frog's bone porridge	frog's bone porridge	major limb wound	4	Icemule Trace|the Hinterwilds
starfish potion	starfish potion	missing eye	1	Icemule Trace|the Hinterwilds
tiny cup of polar bear fat soup	polar bear fat soup	major head scar	2	Icemule Trace|the Hinterwilds
tiny flower-shaped tart	flower-shaped tart	major nerve scar	2	Icemule Trace|the Hinterwilds
tiny musk ox tart	musk ox tart	major organ wound	2	Icemule Trace|the Hinterwilds
tiny ram's bladder tart	ram's bladder tart	major head wound	2	Icemule Trace|the Hinterwilds
some acantha leaf tea	acantha leaf tea	blood	10	the Pinefar Trading Post
some sweetfern tea	sweetfern tea	minor limb wound	4	the Pinefar Trading Post
some red lichen tea	red lichen tea	minor nerve wound	4	the Pinefar Trading Post
some feverfew tea	feverfew tea	minor head wound	4	the Pinefar Trading Post
some ginkgo nut tea	ginkgo nut tea	minor organ wound	4	the Pinefar Trading Post
some sassafras tea	sassafras tea	blood	2	the Pinefar Trading Post
sweetfern potion	sweetfern potion	major limb wound	4	the Pinefar Trading Post
red lichen potion	red lichen potion	major nerve wound	4	the Pinefar Trading Post
feverfew potion	feverfew potion	major head wound	4	the Pinefar Trading Post
ginkgo nut potion	ginkgo nut potion	major organ wound	4	the Pinefar Trading Post
manroot tea	manroot tea	minor limb scar	2	the Pinefar Trading Post
valerian root tea	valerian root tea	minor nerve scar	2	the Pinefar Trading Post
pennyroyal tea	pennyroyal tea	minor head scar	2	the Pinefar Trading Post
wyrmwood root tea	wyrmwood root tea	minor organ scar	2	the Pinefar Trading Post
manroot potion	manroot potion	major limb scar	2	the Pinefar Trading Post
valerian root potion	valerian root potion	major nerve scar	2	the Pinefar Trading Post
pennyroyal potion	pennyroyal potion	major head scar	2	the Pinefar Trading Post
wyrmwood root potion	wyrmwood root potion	major organ scar	2	the Pinefar Trading Post
daggit root potion	daggit root potion	missing eye	1	the Pinefar Trading Post
angelica root potion	angelica root potion	severed limb	1	the Pinefar Trading Post
earwort potion	earwort potion	disease	1	the Pinefar Trading Post
some acantha leaf	acantha leaf	blood	10	Kraken's Fall
some wolifrew lichen	wolifrew lichen	minor nerve wound	4	Kraken's Fall
some torban leaf	torban leaf	minor nerve scar	4	Kraken's Fall
bolmara elixir	bolmara elixir	major nerve wound	4	Kraken's Fall
some woth flower	woth flower	major nerve scar	3	Kraken's Fall
rose-marrow elixir	rose-marrow elixir	minor head wound	4	Kraken's Fall
some haphip root	haphip root	minor head scar	4	Kraken's Fall
some aloeas stem	aloeas stem	major head wound	2	Kraken's Fall
brostheras elixir	brostheras elixir	major head scar	2	Kraken's Fall
ball of basal moss	basal moss	minor organ wound	7	Kraken's Fall
talneo elixir	talneo elixir	minor organ scar	4	Kraken's Fall
some pothinir grass	pothinir grass	major organ wound	2	Kraken's Fall
wingstem elixir	wingstem elixir	major organ scar	2	Kraken's Fall
some ambrominas leaf	ambrominas leaf	minor limb wound	4	Kraken's Fall
some cactacae spine	cactacae spine	minor limb scar	4	Kraken's Fall
ball of ephlox moss	ephlox moss	major limb wound	4	Kraken's Fall
some calamia fruit	calamia fruit	major limb scar	2	Kraken's Fall
cumin-rubbed sovyn clove	sovyn clove	severed limb	1	Kraken's Fall
bur-clover elixir	bur-clover elixir	missing eye	1	Kraken's Fall
some fragrant woth flower	fragrant woth flower	major nerve scar	3	the Isle of Four Winds
some dirty haphip root	dirty haphip root	minor head scar	4	the Isle of Four Winds
sticky ball of basal moss	ball of basal moss	minor organ wound	7	the Isle of Four Winds
gooey ball of ephlox moss	ball of ephlox moss	major limb wound	4	the Isle of Four Winds
some sugary ambrominas leaf	sugary ambrominas leaf	minor limb wound	4	the Isle of Four Winds
some fresh torban leaf	fresh torban leaf	minor nerve scar	4	the Isle of Four Winds
some spicy acantha leaf	spicy acantha leaf	blood	10	the Isle of Four Winds
small sovyn clove	small sovyn clove	severed limb	1	the Isle of Four Winds
some bright green pothinir grass	some bright pothinir grass	major organ wound	2	the Isle of Four Winds
some withered aloeas stem	withered aloeas stem	major head wound	2	the Isle of Four Winds
some ripe calamia fruit	ripe calamia fruit	major limb scar	2	the Isle of Four Winds
some prickly cactacae spine	prickly cactacae spine	minor limb scar	4	the Isle of Four Winds
some dry wolifrew lichen	dry wolifrew lichen	minor nerve wound	4	the Isle of Four Winds
crystalline rose-marrow elixir	rose-marrow elixir	minor head wound	4	the Isle of Four Winds
crystalline talneo elixir	talneo elixir	minor organ scar	4	the Isle of Four Winds
crystalline brostheras elixir	brostheras elixir	major head scar	2	the Isle of Four Winds
crystalline bolmara elixir	bolmara elixir	major nerve wound	4	the Isle of Four Winds
crystalline wingstem elixir	wingstem elixir	major organ scar	2	the Isle of Four Winds
crystalline bur-clover elixir	bur-clover elixir	missing eye	1	the Isle of Four Winds
beaker of malted winterberry brew	beaker of winterberry brew	minor head wound	4	River's Rest
beaker of winterberry brew	winterberry brew	minor head wound	4	River's Rest
yabathilium fruit	yabathilium fruit	blood	1	Forageable
ochre-colored fungus	ochre-colored fungus	poison	1	Forageable
red nettle berry	red nettle berry	poison	1	Forageable
pulsating firethorn shoot	pulsating firethorn shoot	poison	1	Skinnable
tincture of yabathilium	tincture of yabathilium	blood	1	Alchemical
dimly glowing sky-blue potion	sky-blue potion	disease	4	Alchemical
dimly glowing sea-green potion	sea-green potion	poison	4	Alchemical
