creature_id	area	uid_lo	uid_hi
cadaverous_tatterdemalion_ghast	Moonsedge	4577051	4577058
cadaverous_tatterdemalion_ghast	Moonsedge	4577106	4577123
cadaverous_tatterdemalion_ghast	Moonsedge	4577201	4577214
cadaverous_tatterdemalion_ghast	Moonsedge	4577216	4577249
caedera	The Rift	4567001	4567055
carceris	Castle Anwyn	4285030	4285050
caribou	Pinefar Forests	4563001	4563021
caribou	Sleeping Lady Mountains	4565004	4565014
carrion_worm	Coastal Cliffs	67001	67020
carrion_worm	Subterranean Tunnels	4045211	4045230
cave_bear	Hidden Vale	40001	40013
cave_bear	Hidden Vale	40020	40020
cave_gnoll	Upper Dragonsclaw	2121015	2121024
cave_gnome	Catacombs	46029	46033
cave_gnome	Catacombs	46035	46037
cave_gnome	Upper Dragonsclaw	2121015	2121024
cave_gnome	Subterranean Tunnels	4045120	4045141
cave_lizard	Czeroth Caverns	13007001	13007043
cave_nipper	Sea Caverns	391001	391022
cave_troll	Hidden Vale	36001	36005
cave_troll	Vornavian Coast	4202161	4202180
cave_troll	Upper Trollfang	14032	14043
cave_troll	Upper Trollfang	14052	14060
cave_troll	Upper Trollfang	17020	17028
cave_troll	Upper Trollfang	17101	17115
cave_troll	Crystal Caves	24019	24057
cave_worm	Crystal Caves	24001	24017
cave_worm	Crystal Caves	24019	24057
cave_worm	Sea Caverns	392001	392008
centaur	Rambling Meadows	14006041	14006046
centaur	Rambling Meadows	14006048	14006060
centaur	Vornavian Coast	4218101	4218121
centaur	Locksmehr Trail	13001043	13001079
centaur_ranger	Rambling Meadows	14006041	14006046
centaur_ranger	Rambling Meadows	14006048	14006060
chitinous_kiramon_myrmidon	The Hive	13041101	13041132
chitinous_kiramon_myrmidon	The Hive	13041201	13041230
chitinous_kiramon_myrmidon	The Hive	13041301	13041329
cinder_wasp	Volcano	3052001	3052025
cloud_sprite_bully	Cloud Forest	3219001	3219038
cloud_sprite_meddler	Cloud Forest	3219001	3219038
cobra	The Graveyard	18048	18051
cobra	The Graveyard	18053	18054
cobra	The Graveyard	2156001	2156015
cobra	Vornavian Coast	4202101	4202111
cockatrice	Upper Trollfang	15009	15015
coconut_crab	Rocky Shoals	7127001	7127019
cold_guardian	Icemule Trail	4044131	4044134
cold_guardian	Icemule Trail	4044136	4044139
cold_guardian	Ice Plains	4127035	4127045
cold_guardian	Ice Plains	7502001	7502015
colossal_boreal_undansormr	Hinterwilds	7503401	7503421
colossal_boreal_undansormr	Hinterwilds	7503479	7503498
colossus_vulture	Yegharren Plains	13036111	13036118
colossus_vulture	Yegharren Plains	13036201	13036217
corpulent_kresh_ravager	The Hive	13041101	13041132
corpulent_kresh_ravager	The Hive	13041201	13041230
cougar	Vornavian Coast	4218101	4218121
coyote	Upper Trollfang	16001	16005
coyote	Upper Trollfang	16011	16013
coyote	Vornavian Coast	4214101	4214115
coyote	Lower Dragonsclaw	9042	9047
coyote	Lower Dragonsclaw	9058	9058
coyote	Plains of Vornavis	4212101	4212130
coyote	Plains of Vornavis	4213101	4213130
coyote	Liath Bheinn and Aillidh Brae	4250022	4250026
crackling_lightning_fiend	Stormpeak	13150401	13150425
crazed_canine	Cliffwalk	7129001	7129017
crazed_zombie	Lunule Weald	14016001	14016038
crested_basilisk	Outlands	2152013	2152030
crested_basilisk	Rambling Meadows	14006041	14006046
crested_basilisk	Rambling Meadows	14006048	14006060
crested_basilisk	Yegharren Plains	13034401	13034416
crocodile	The Citadel	377051	377066
crocodile	The Citadel	377077	377081
crocodile	The Citadel	377083	377084
crocodile	Plains of Vornavis	4212301	4212324
crocodile	Thurfel's Island	7530006	7530029
crystal_crab	Thurfel's Island	7530006	7530029
crystal_golem	Crystal Caves	24058	24064
csetairi	The Rift	4567001	4567055
cyclops	Noman's Land	4600010	4600020
dark_apparition	Glaise Cnoc Cemetery	14008073	14008081
dark_apparition	Southern Snowfields	4128058	4128070
dark_frosty_plant	Abandoned Farm	4124050	4124062
dark_orc	Yander's Farm	14005054	14005066
dark_orc	Smuggling Tunnels	37002	37021
dark_orc	Vornavian Coast	4202401	4202416
dark_panther	Karazja Jungle	5006004	5006009
dark_panther	Karazja Jungle	5006040	5006040
dark_panther	Vipershroud	2190001	2190025
dark_panther	Vipershroud	2190027	2190034
dark_shambler	Plains of Bone	14011023	14011035
dark_shambler	Vornavian Coast	4217201	4217216
dark_shambler	Upper Trollfang	16058	16064
dark_shambler	Abbey	4132101	4132118
dark_vortece	The Broken Lands	94026	94040
dark_vysan	Coastal Cliffs	68006	68008
dark_vysan	Coastal Cliffs	68030	68032
dark_vysan	Coastal Cliffs	4381001	4381021
dark_vysan	Glaise Cnoc Cemetery	14008025	14008051
darken	Wraithenmist	13027003	13027083
darkly_inked_fetish_master	The Rift	4571001	4571030
darkwoode	The Toadwort	14007024	14007031
darkwoode	Upper Trollfang	16036	16044
darkwoode	Vornavian Coast	4218201	4218221
death_dirge	Plains of Bone	14011001	14011022
death_dirge	Vornavian Coast	4202141	4202156
death_dirge	The Graveyard	18042	18044
death_dirge	The Graveyard	18048	18052
death_dirge	The Graveyard	2162001	2162015
deathsworn_fanatic	Shadow of the Sanctum	4216001	4216049
decaying_citadel_guardsman	The Citadel	377002	377008
decaying_citadel_guardsman	The Citadel	377013	377015
decaying_citadel_guardsman	The Citadel	377020	377030
decaying_citadel_guardsman	The Citadel	377301	377314
decaying_citadel_guardsman	The Citadel	377320	377344
deranged_sentry	Thurfel's Island	7531026	7531042
desiccated_half_krolvin_strigoi	Crawling Shore	4576101	4576126
desiccated_half_krolvin_strigoi	Crawling Shore	4576151	4576160
dhu_goleras	Maaghara Tower	13022004	13022055
direbear	Red Forest	480216	480230
direbear	Red Forest	17006216	17006230
disfigured_hive_thrall	The Hive	13041101	13041132
disfigured_hive_thrall	The Hive	13041201	13041230
disfigured_hive_thrall	The Hive	13041301	13041329
dobrem	Outlands	2152003	2152029
dobrem	Outlands	4215100	4215118
dobrem	Outlands	4215133	4215160
dobrem	Outlands	4215164	4215182
dreadnought_raptor	Gyldemar Forest	13028001	13028034
dybbuk	Bonespear Tower	319100	319112
dybbuk	Bonespear Tower	319117	319133
earth_elemental	Bowels of Thanatoph	4293001	4293032
earth_elemental	Bowels of Thanatoph	4293051	4293057
ebon_swine	Black Weald	7130001	7130018
eidolon	Bonespear Tower	319117	319140
elder_ghoul_master	The Graveyard	18029	18035
elder_ghoul_master	The Graveyard	18070	18070
elder_tree_spirit	Abandoned Farm	4124101	4124112
elder_tree_spirit	Abandoned Farm	4124114	4124124
emaciated_hierophant	Temple Wyneb	13300001	13300076
emaciated_hierophant	Temple Wyneb	13300080	13300080
enormous_mosquito	Monsoon Jungle	3218001	3218046
enormous_mosquito	Monsoon Jungle	3218049	3218054
enormous_rift_crawler	The Rift	4569001	4569023
ethereal_mage_apprentice	The Citadel	377002	377008
ethereal_mage_apprentice	The Citadel	377013	377015
ethereal_mage_apprentice	The Citadel	377020	377030
ethereal_mage_apprentice	The Citadel	377320	377328
ethereal_triton_psionicist	Atoll	7138201	7138218
ethereal_triton_sentry	Ruined Temple	3031081	3031106
eyeless_black_valravn	Hinterwilds	7503321	7503332
eyeless_black_valravn	Hinterwilds	7503371	7503374
eyeless_black_valravn	Hinterwilds	7503422	7503466
fallen_crusader	The Rift	4569001	4569023
fanged_goblin	The Toadwort	14007001	14007022
fanged_rodent	Catacombs	14009001	14009040
fanged_viper	The Toadwort	14007012	14007041
fenghai	Vornavian Coast	4006001	4006031
fenghai	Vornavian Coast	4218101	4218121
festering_taint	Old Ta'Faendryl	17003011	17003038
festering_taint	Old Ta'Faendryl	17003101	17003150
festering_taint	Old Ta'Faendryl	17003201	17003217
fire_ant	Barefoot Hill	14010101	14010118
fire_cat	Lysierian Hills	92032	92041
fire_cat	Lysierian Hills	92120	92129
fire_elemental	Eye of V'Tull	3060002	3060018
fire_elemental	Eye of V'Tull	3061001	3061028
fire_giant	Volcanic Flats	3023001	3023017
fire_guardian	Glatoph	35010	35024
fire_guardian	Vornavian Coast	4202301	4202320
fire_mage	Eye of V'Tull	3051005	3051020
fire_mage	Eye of V'Tull	3051022	3051030
fire_mage	Eye of V'Tull	3061001	3061017
fire_mage	Eye of V'Tull	3061028	3061038
fire_ogre	Volcanic Flats	3023001	3023028
fire_rat	Lysierian Hills	92032	92041
fire_salamander	Vornavian Coast	4202301	4202320
fire_salamander	Catacombs	46019	46025
fire_salamander	Catacombs	46028	46032
fire_sprite	Eye of V'Tull	3051003	3051030
fire_sprite	Eye of V'Tull	3061025	3061035
firebird	Volcanic Flats	3023107	3023123
firephantom	Glatoph	35010	35024
firephantom	Vornavian Coast	4202301	4202320
firephantom	The Citadel	2102001	2102006
firephantom	The Citadel	2102059	2102069
firethorn_shoot	Fhorian Village	3030001	3030010
firethorn_shoot	Fhorian Village	3030035	3030043
firethorn_shoot	Fhorian Village	3030250	3030254
flayed_gigas_disciple	Hinterwilds	7503401	7503421
flayed_gigas_disciple	Hinterwilds	7503467	7503478
flayed_gigas_disciple	Hinterwilds	7503490	7503498
flesh_golem	Marsh Keep	376051	376054
flesh_golem	Marsh Keep	376057	376088
flickering_mist_wreathed_banshee	Moonsedge	4577001	4577028
flickering_mist_wreathed_banshee	Moonsedge	4577051	4577058
flickering_mist_wreathed_banshee	Moonsedge	4577106	4577123
flickering_mist_wreathed_banshee	Moonsedge	4577201	4577214
flickering_mist_wreathed_banshee	Moonsedge	4577216	4577249
forest_bendith	Gyldemar Forest	13031001	13031056
forest_ogre	Vornavian Coast	4218201	4218221
forest_trali	Gyldemar Forest	13028038	13028080
forest_trali_shaman	Gyldemar Forest	13028038	13028080
forest_troll	Upper Trollfang	14001	14023
forest_troll	Upper Trollfang	15001	15030
forest_troll	Upper Trollfang	16005	16035
forest_troll	Vornavian Coast	4214101	4214115
frenzied_monk	Lunule Weald	14016039	14016057
frenzied_monk	Lunule Weald	14016059	14016082
frost_giant	Glatoph	35026	35030
frost_giant	Glatoph	35068	35072
frost_giant	Glatoph	2153002	2153031
frost_giant	Icemule Trail	4044001	4044019
frost_giant	Icemule Trail	4044121	4044130
frost_giant	Sleeping Lady Mountains	4560001	4560019
frost_giant	Ice Plains	7502011	7502021
frozen_corpse	Sleeping Lady Mountains	4560030	4560053
frozen_corpse	Pinefar Forests	4563030	4563051
fulminating_stormborn_primordial	Sailor's Grief	7150201	7150229
fulminating_stormborn_primordial	Sailor's Grief	7150301	7150325
fulminating_stormborn_primordial	Sailor's Grief	7150328	7150329
garish_revenant_buccaneer	Sailor's Grief	7150501	7150535
gaudy_phantasmic_conjurer	Moonsedge	4577106	4577123
gaudy_phantasmic_conjurer	Moonsedge	4577201	4577214
gaudy_phantasmic_conjurer	Moonsedge	4577216	4577249
gaunt_feral_selkie	Crawling Shore	4576101	4576126
gaunt_feral_selkie	Crawling Shore	4576151	4576160
gaunt_spectral_servant	Marsh Keep	376001	376001
gaunt_spectral_servant	Marsh Keep	376003	376010
gaunt_spectral_servant	Marsh Keep	376015	376018
gaunt_spectral_servant	Marsh Keep	376020	376034
gaunt_spectral_servant	Marsh Keep	376040	376044
gaunt_spectral_servant	Marsh Keep	376051	376054
gaunt_spectral_servant	Marsh Keep	376057	376062
gaunt_spectral_servant	Marsh Keep	376084	376088
ghost	Coastal Cliffs	67043	67053
ghost_wolf	Plains of Bone	14011023	14011041
ghost_wolf	Upper Trollfang	14070	14079
ghost_wolf	Icemule Trail	4044200	4044218
ghostly_mara	Wraithenmist	13027023	13027086
ghostly_pooka	Shadow Valley	389001	389019
ghostly_pooka	Shadow Valley	389021	389027
ghostly_pooka	Shadow Valley	2158001	2158020
ghostly_warrior	Wolves' Den	390002	390022
ghostly_warrior	Wolves' Den	390025	390048
ghoul_master	The Graveyard	18029	18035
ghoul_master	The Graveyard	18070	18070
ghoul_master	The Graveyard	2162101	2162122
ghoul_master	Plains of Bone	14011023	14011035
giant_albino_scorpion	Mraent Caverns	13008001	13008040
giant_albino_tomb_spider	The Graveyard	2162113	2162122
giant_ant	Dark Caverns	47001	47024
giant_ant	Dark Caverns	47026	47033
giant_fog_beetle	The Broken Lands	306016	306048
giant_fog_beetle	Greymist Woods	3021001	3021016
giant_fog_beetle	Greymist Woods	3022001	3022017
giant_hawk_owl	Sorcerer's Isle	14202001	14202023
giant_hawk_owl	Teorainn Dale	13024035	13024064
giant_marmot	Yander's Farm	14005038	14005053
giant_marmot	Smuggling Tunnels	37002	37041
giant_rat	Catacombs	46001	46003
giant_rat	Catacombs	46007	46007
giant_rat	Catacombs	46039	46041
giant_rat	Catacombs	46052	46058
giant_rat	Catacombs	2133100	2133109
giant_rat	Catacombs	2133200	2133206
giant_rat	Catacombs	2134100	2134108
giant_rat	Catacombs	2134200	2134207
giant_rat	Catacombs	2135100	2135107
giant_rat	Catacombs	2135200	2135209
giant_rat	Catacombs	2136100	2136108
giant_rat	Catacombs	2136200	2136208
giant_rat	Catacombs	4126004	4126023
giant_rat	Lower Dragonsclaw	372005	372014
giant_rat	Lower Dragonsclaw	372020	372026
giant_rat	Lower Dragonsclaw	372030	372039
giant_rat	The Citadel	2103007	2103013
giant_rat	The Citadel	2103015	2103023
giant_rat	Subterranean Tunnels	4045150	4045158
giant_rat	Subterranean Tunnels	4045160	4045168
giant_rat	Subterranean Tunnels	4045200	4045210
giant_veaba	Czeroth Caverns	13007001	13007043
giant_weasel	Yegharren Plains	13034401	13034416
giant_weasel	Emerald Forest	13301201	13301232
giant_weasel	Emerald Forest	13301301	13301335
gigantic_lightning_whelk	Sailor's Grief	7150101	7150105
gigantic_lightning_whelk	Sailor's Grief	7150115	7150116
gigantic_lightning_whelk	Sailor's Grief	7150201	7150229
gigantic_lightning_whelk	Sailor's Grief	7150301	7150325
gigantic_lightning_whelk	Sailor's Grief	7150328	7150329
glacial_morph	Gossamer Valley	13023013	13023054
glistening_cerebralite	The Rift	4569001	4569023
glistening_cerebralite	The Rift	4571001	4571030
gnarled_being	Old Ta'Faendryl	17003011	17003038
gnarled_being	Old Ta'Faendryl	17003101	17003150
gnarled_being	Old Ta'Faendryl	17003201	17003217
gnoll_guard	Foothills of Zeltoph	10009	10060
gnoll_guard	Foothills of Zeltoph	11201	11221
gnoll_jarl	Foothills of Zeltoph	11020	11030
gnoll_miner	Foothills of Zeltoph	11221	11221
gnoll_priest	Foothills of Zeltoph	10040	10050
gnoll_priest	Foothills of Zeltoph	11001	11030
gnoll_ranger	Foothills of Zeltoph	10001	10020
gnoll_ranger	Foothills of Zeltoph	10200	10206
gnoll_thief	Foothills of Zeltoph	10001	10020
gnoll_thief	Foothills of Zeltoph	10201	10206
gnoll_worker	Foothills of Zeltoph	10001	10009
gnoll_worker	Foothills of Zeltoph	10021	10039
gnoll_worker	Foothills of Zeltoph	11001	11014
goblin	Old Mine Road	20001	20035
goblin	The Graveyard	18003	18011
goblin	Upper Trollfang	16001	16020
goblin	Sea Caverns	391001	391022
great_boar	Vornavian Coast	4202182	4202199
great_boar	Yander's Farm	14005054	14005066
great_boar	Lysierian Hills	92002	92018
great_boar	Slope	395002	395015
great_boar	Locksmehr Trail	13000002	13000047
great_brown_bear	Upper Trollfang	14001	14023
great_brown_bear	Upper Trollfang	17020	17025
great_brown_bear	Upper Trollfang	17101	17118
great_brown_bear	Upper Trollfang	17127	17127
great_stag	Yander's Farm	14005067	14005080
great_stag	Yegharren Plains	13034101	13034118
great_stag	Yegharren Plains	13034201	13034221
greater_bog_troll	Miasmal Forest	5003039	5003050
greater_bog_troll	Miasmal Forest	5004035	5004044
greater_bog_troll	Miasmal Forest	5004049	5004053
greater_burrow_orc	Melgorehn's Valley	2148026	2148040
greater_construct	Old Ta'Faendryl	17004001	17004028
greater_construct	Old Ta'Faendryl	17004030	17004120
greater_earth_elemental	Bowels of Thanatoph	4293015	4293057
greater_faeroth	Gyldemar Forest	13030041	13030076
greater_ghoul	Glaise Cnoc Cemetery	14008025	14008051
greater_ghoul	The Citadel	2102008	2102020
greater_ghoul	The Graveyard	18048	18058
greater_ghoul	The Graveyard	18060	18061
greater_ghoul	The Graveyard	18065	18068
greater_ghoul	The Graveyard	2162001	2162015
greater_ghoul	Vornavian Coast	4202141	4202156
greater_ice_giant	Sleeping Lady Mountains	4560030	4560053
greater_ice_spider	Southern Snowfields	4128045	4128055
greater_kappa	Coastal Cliffs	85001	85009
greater_krynch	Bowels of Thanatoph	4293001	4293052
greater_moor_wight	Miasmal Forest	5003039	5003050
greater_moor_wight	Miasmal Forest	5004035	5004044
greater_moor_wight	Miasmal Forest	5004049	5004053
greater_moor_wight	Yegharren Plains	13036201	13036217
greater_moor_wight	Yegharren Plains	13036401	13036414
greater_moor_wight	Yegharren Plains	13036501	13036514
greater_orc	The Citadel	2100102	2100120
greater_orc	Upper Trollfang	16001	16044
greater_orc	Foothills of Zeltoph	2131001	2131010
greater_orc	Foothills of Zeltoph	2131040	2131045
greater_orc	Vornavian Coast	4214101	4214115
greater_orc	Cairnfang	4745001	4745019
greater_orc	Cairnfang	4745021	4745032
greater_orc	Cairnfang	4745035	4745039
greater_skayl	McKyren's End	3063001	3063013
greater_spider	The Graveyard	2162001	2162015
greater_spider	Vornavian Coast	4202161	4202180
greater_spider	Vornavian Coast	4218201	4218221
greater_spider	Crystal Caves	24001	24017
greater_spider	Sea Caverns	392001	392008
greater_water_elemental	Ruined Temple	3031081	3031106
greenwing_hornet	Castle Anwyn	4285036	4285040
greenwing_hornet	Castle Anwyn	4285043	4285047
greenwing_hornet	Castle Anwyn	4285051	4285057
gremlock	Old Ta'Faendryl	17002201	17002247
gremlock	Old Ta'Faendryl	17002301	17002325
gremlock	Old Ta'Faendryl	17003011	17003038
gremlock	Old Ta'Faendryl	17003101	17003150
gremlock	Old Ta'Faendryl	17003201	17003217
grey_orc	Yander's Farm	14005067	14005080
grey_orc	Upper Trollfang	14015	14023
grey_orc	Upper Trollfang	14025	14025
grey_orc	Upper Trollfang	16051	16057
grey_orc	Liath Bheinn and Aillidh Brae	4250005	4250021
grey_plumed_steelwing_harpy	Sailor's Grief	7150301	7150325
grey_plumed_steelwing_harpy	Sailor's Grief	7150328	7150329
grifflet	Griffin's Keen	13302101	13302121
grifflet	Griffin's Keen	13302132	13302169
grim_gigas_skald	Hinterwilds	7503301	7503312
grim_gigas_skald	Hinterwilds	7503321	7503332
grim_gigas_skald	Hinterwilds	7503341	7503353
grim_gigas_skald	Hinterwilds	7503361	7503366
grim_gigas_skald	Hinterwilds	7503371	7503374
grim_gigas_skald	Hinterwilds	7503381	7503384
grisly_corpse_hulk	Crawling Shore	4576101	4576126
grisly_corpse_hulk	Crawling Shore	4576151	4576160
grizzly_bear	Pinefar Forests	4563014	4563026
grutik_savage	Zaerthu Tunnels	13009001	13009039
grutik_shaman	Zaerthu Tunnels	13009001	13009039
haggard_veiki_herald	Stormpeak	13150401	13150425
hapless_charmed_corsair	Sailor's Grief	7150101	7150105
hapless_charmed_corsair	Sailor's Grief	7150115	7150116
hapless_charmed_corsair	Sailor's Grief	7150201	7150229
hapless_charmed_corsair	Sailor's Grief	7150301	7150325
hapless_charmed_corsair	Sailor's Grief	7150328	7150329
heavily_armored_battle_mastodon	Hinterwilds	7503301	7503312
heavily_armored_battle_mastodon	Hinterwilds	7503341	7503353
hill_troll	Hidden Vale	36006	36010
hill_troll	Upper Trollfang	17001	17010
hill_troll	Upper Trollfang	374001	374012
hill_troll	Slope	395017	395051
hisskra_chieftain	The Ruined Tower	305001	305022
hisskra_shaman	The Ruined Tower	305001	305022
hisskra_shaman	The Ruined Tower	305050	305056
hisskra_warrior	The Ruined Tower	305001	305030
hisskra_warrior	The Ruined Tower	305032	305038
hisskra_warrior	The Ruined Tower	305050	305056
hobgoblin	The Graveyard	18018	18028
hobgoblin	The Graveyard	18037	18040
hobgoblin	The Graveyard	18042	18044
hobgoblin	The Graveyard	18048	18052
hobgoblin	The Graveyard	2162001	2162015
hobgoblin	Upper Dragonsclaw	8001	8009
hobgoblin	Upper Dragonsclaw	2121001	2121013
hobgoblin	Upper Dragonsclaw	4121001	4121020
hobgoblin	Southern Snowfields	4128018	4128024
hobgoblin	Ocoma Vale	4300001	4300025
hobgoblin	Cairnfang	4745040	4745050
hobgoblin	Muddy Village	7128001	7128015
hobgoblin	Muddy Village	7128026	7128030
hobgoblin_acolyte	Muddy Village	7128001	7128015
hobgoblin_acolyte	Muddy Village	7128026	7128030
hobgoblin_shaman	Ocoma Vale	4300012	4300025
hooded_figure	The Broken Lands	306016	306048
hooded_figure	The Broken Lands	487002	487007
hooded_figure	The Broken Lands	487010	487014
hooded_figure	The Broken Lands	487016	487016
hooded_figure	The Broken Lands	487018	487018
hooded_figure	The Broken Lands	487044	487048
horned_basalt_grotesque	Moonsedge	4577001	4577028
horned_basalt_grotesque	Moonsedge	4577051	4577058
horned_basalt_grotesque	Moonsedge	4577101	4577123
horned_basalt_grotesque	Moonsedge	4577201	4577214
horned_basalt_grotesque	Moonsedge	4577216	4577249
horned_vor_taz	Gyldemar Forest	13030001	13030040
huge_air_elemental	Elemental Confluence	580001	580025
huge_air_elemental	Elemental Confluence	581001	581025
huge_air_elemental	Elemental Confluence	582001	582025
huge_air_elemental	Elemental Confluence	583001	583025
huge_air_elemental	Elemental Confluence	584001	584025
huge_air_elemental	Elemental Confluence	585001	585025
huge_air_elemental	Elemental Confluence	586001	586025
huge_air_elemental	Elemental Confluence	587001	587025
huge_air_elemental	Elemental Confluence	588001	588025
huge_earth_elemental	Elemental Confluence	580001	580025
huge_earth_elemental	Elemental Confluence	581001	581025
huge_earth_elemental	Elemental Confluence	582001	582025
huge_earth_elemental	Elemental Confluence	583001	583025
huge_earth_elemental	Elemental Confluence	584001	584025
huge_earth_elemental	Elemental Confluence	585001	585025
huge_earth_elemental	Elemental Confluence	586001	586025
huge_earth_elemental	Elemental Confluence	587001	587025
huge_earth_elemental	Elemental Confluence	588001	588025
huge_fire_elemental	Elemental Confluence	580026	580053
huge_fire_elemental	Elemental Confluence	581026	581053
huge_fire_elemental	Elemental Confluence	582026	582053
huge_fire_elemental	Elemental Confluence	583026	583053
huge_fire_elemental	Elemental Confluence	584026	584053
