category	id	base_name	damage_factor_by_ag_0_to_5	base_rt	min_rt	slash	crush	puncture	special	avd_by_asg_1_to_20	weighting_type	weighting_amount
brawling	troll_claw	troll-claw	|0.325|0.175|0.14|0.12|0.09	2	3			0		46|46|||35|34|33|32|25|23|21|19|25|21|17|13|15|9|3|-3		
brawling	yierka_spur	yierka-spur	|0.25|0.15|0.125|0.125|0.075	1	2					40|40|||35|34|33|32|25|23|21|19|30|26|22|18|0|-6|-12|-18		
edged	arrow	arrow	|0.2|0.1|0.08|0.1|0.04	5	4	33.3	0	66.7		20|20|||18|17|16|15|10|8|6|4|5|1|-3|-7|-5|-11|-17|-23		
edged	backsword	backsword	|0.31|0.225|0.24|0.125|0.15	5	4	50	16.7	33.3		38|38|||38|37|36|35|34|32|30|28|38|34|30|26|34|28|22|16		
edged	bastard_sword	bastard sword	|0.45|0.325|0.275|0.25|0.18	6	4	66.7	33.3	0		30|30|||31|30|29|28|31|29|27|25|32|28|24|20|31|25|19|13		
edged	broadsword	broadsword	|0.45|0.3|0.25|0.225|0.2	5	4	50	16.7	33.3		36|36|||36|35|34|33|36|34|32|30|37|33|29|25|36|30|24|18		
edged	dagger	dagger	|0.25|0.2|0.1|0.125|0.075	1	2	33.3	0	66.7		25|25|||23|22|21|20|15|13|11|9|10|6|2|-2|0|-6|-12|-18		
edged	estoc	estoc	|0.425|0.3|0.2|0.2|0.15	4	4	33.3	0	66.7		36|36|||38|37|36|35|35|33|31|29|40|36|32|28|30|24|18|12		
edged	falchion	falchion	|0.45|0.325|0.25|0.25|0.175	5	4	66.7	33.3	0		35|35|||37|36|35|34|38|36|34|32|39|35|31|27|39|33|27|21		
edged	handaxe	handaxe	|0.42|0.3|0.27|0.24|0.21	5	4	33.3	66.7	0		30|30|||32|31|30|29|38|36|34|32|41|37|33|29|41|35|29|23		
edged	katana	katana	|0.45|0.325|0.275|0.225|0.175	5	4	100	0	0		38|38|||36|35|34|33|36|34|32|30|37|33|29|25|35|29|23|17	critical	10
edged	longsword	longsword	|0.425|0.275|0.225|0.2|0.175	4	4	50	16.7	33.3		41|41|||42|41|40|39|43|41|39|37|37|33|29|25|35|29|23|17		
edged	main_gauche	main gauche	|0.275|0.21|0.11|0.125|0.075	2	3	33.3	0	66.7		27|27|||25|24|23|22|20|18|16|14|20|16|12|8|20|14|8|2		
edged	rapier	rapier	|0.325|0.225|0.125|0.125|0.075	2	3	33.3	0	66.7		45|45|||40|39|38|37|30|28|26|24|35|31|27|23|15|9|3|-3		
edged	scimitar	scimitar	|0.375|0.26|0.21|0.2|0.165	4	4	50	16.7	33.3		30|30|||31|30|29|28|30|28|26|24|30|26|22|18|30|24|18|12		
edged	short_sword	short sword	|0.35|0.24|0.2|0.15|0.125	3	3	33.3	33.3	33.3		40|40|||36|35|34|33|30|28|26|24|25|21|17|13|25|19|13|7		
edged	whip_blade	whip-blade	|0.333|0.225|0.125|0.115|0.065	2	3	100	0	0		45|45|||40|39|38|37|30|28|26|24|35|31|27|23|15|9|3|-3		
hybrid	katar	katar	|0.325|0.25|0.225|0.2|0.175	3	3	33.3	0	66.7		30||||32|31|30|29|40|38|36|34|45|41|37|33|40|34|28|22		
missile	blunt	blunt	|-0.05|-0.05|-0.05|-0.05|-0.05	0	0	0	0	0	unbalance	10|10|||10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10		
missile	bodkin_point	bodkin point	|-0.05|-0.025|-0.01|0.025|0.015	0	0	66.6	0	33.7		0|0|||0|0|0|0|0|0|0|0|5|5|5|5|5|5|5|5		
missile	broadhead	broadhead	|0|0|0|0|0	0	0	66.6	0	33.7		0|0|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0		
missile	composite_bow	composite bow	|0.35|0.3|0.325|0.275|0.15	6	3	66.6	0	33.7		25|25|||35|34|33|32|30|28|26|24|42|38|34|30|36|30|24|18		
missile	crescent	crescent	|0|0|0|0|0	0	0	83.6	0	16.7		0|0|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0		
missile	hand_crossbow	hand crossbow	|0.275|0.225|0.25|0.19|0.135	4	4	66.6	0	33.7		20|20|||26|25|24|23|20|18|16|14|34|30|26|22|27|21|15|9		
missile	heavy_crossbow	heavy crossbow	|0.425|0.325|0.375|0.285|0.175	7	5	66.6	0	33.7		30|30|||36|35|34|33|31|29|27|25|46|42|38|34|40|34|28|22		
missile	light_crossbow	light crossbow	|0.35|0.3|0.325|0.275|0.15	6	4	66.6	0	33.7		25|25|||31|30|29|28|25|23|21|19|39|35|31|27|32|26|20|14		
missile	long_bow	long bow	|0.4|0.325|0.35|0.3|0.175	7	3	66.6	0	33.7		25|25|||33|32|31|30|29|27|25|23|42|38|34|30|38|32|26|20		
missile	short_bow	short bow	|0.325|0.225|0.275|0.25|0.1	5	3	66.6	0	33.7		20|20|||27|26|25|24|20|18|16|14|31|27|23|19|27|21|15|9		
natural	bite	bite	|0.4|0.375|0.375|0.325|0.3	5	5					39|39|||39|35|34|33|32|30|28|26|24|32|28|24|20|25|19|13		
natural	charge	charge	|0.175|0.175|0.15|0.175|0.15	5	5	0		0	unbalance	26|26|||32|31|30|29|41|39|37|35|37|33|29|25|49|43|37|31		
natural	claw	claw	|0.225|0.2|0.2|0.175|0.175	5	5					41|41|||38|37|36|35|29|27|25|23|31|27|23|19|25|19|13|7		
natural	ensnare	ensnare	|0.275|0.225|0.2|0.175|0.15	5	5				grapple	25|25|||31|30|29|28|40|38|36|34|38|34|30|26|50|44|38|32		
natural	impale	impale	|0.35|0.325|0.315|0.3|0.285	5	5	0			unbalance	37|37|||43|42|41|40|33|31|29|27|35|31|27|23|31|25|19|13		
natural	nip	nip	|0.125|0.105|0.09|0.09|0.1	5	5	0	0			35|35|||40|39|38|37|25|23|21|19|28|24|20|16|20|14|8|2		
natural	pincer	pincer	|0.3|0.3|0.225|0.225|0.225	5	5			0		37|37|||35|34|33|32|30|28|26|24|34|30|26|22|30|24|18|12		
natural	pound	pound	|0.425|0.35|0.325|0.325|0.275	5	5	0	100	0		38|38|||45|44|43|42|46|44|42|40|50|46|42|38|50|44|38|32		
natural	stinger	stinger	|0.11|0.1|0.1|0.09|0.085	5	5	0	0	100		43|43|||30|29|28|27|25|23|21|19|28|24|20|16|20|14|8|2		
natural	stomp	stomp	|0.325|0.325|0.25|0.225|0.225	5	5	0	100	0		39|39|||45|44|43|42|35|33|31|29|45|41|37|33|33|27|21|15		
natural	tail_swing	tail swing	|0.4|0.3|0.225|0.25|0.175	5	5	0	100	0		31|31|||32|31|30|29|35|33|31|29|42|38|34|30|36|30|24|18		
polearm	awl_pike	awl-pike	|0.6|0.55|0.575|0.45|0.35	9	4	0	13	87		15|15|||20|19|18|17|35|33|21|29|45|41|37|33|50|44|38|32		
polearm	halberd	halberd	|0.55|0.4|0.4|0.3|0.2	6	4	33.3	33.3	33.3		30|30|||30|29|28|17|31|29|27|25|32|28|24|20|32|26|20|14		
polearm	hammer_of_kai	Hammer of Kai	|0.55|0.425|0.45|0.35|0.25	7	4	0				20|20|||25|24|23|22|35|33|31|29|40|36|32|28|40|34|28|22		
polearm	javelin	javelin	|0.402|0.304|0.254|0.254|0.102	4	5	17	0	83		27|27|||28|27|25|25|26|24|22|20|29|25|21|17|20|14|8|2		
polearm	jeddart_axe	jeddart-axe	|0.55|0.425|0.425|0.325|0.25	7	4	50	50	0		30|30|||32|31|30|29|30|28|26|24|40|36|32|28|30|24|18|12		
polearm	lance	lance	|0.725|0.525|0.559|0.475|0.35	9	4	0	33	67		35|35|||38|37|36|35|39|37|35|33|53|49|45|31|50|44|38|32		
polearm	naginata	naginata	|0.55|0.4|0.4|0.3|0.2	6	4	33.3	33.3	33.3		50|50|||50|49|48|27|51|49|47|45|52|48|44|40|52|46|40|34		
polearm	pilum	pilum	|0.35|0.25|0.225|0.175|0.06	3	3	17	0	83		30|30|||27|26|25|24|22|20|18|16|23|19|15|11|15|9|3|-3		
polearm	spear	spear	[nil, 0.425, 0.325, 0.25, 0.25, 0.16]|[nil, 0.55, 0.225, 0.24, 0.125, 0.15]	[5, 6]	4	17	0	83		[nil, 33, 33, nil, nil, 32, 31, 30, 29, 34, 32, 30, 28, 36, 32, 28, 24, 33, 27, 21, 15]|||||||||||||||||||		
polearm	trident	trident	[nil, 0.425, 0.35, 0.26, 0.23, 0.15]|[nil, 0.6, 0.425, 0.375, 0.3, 0.185]	[5, 6]	4	33	0	67		[nil, 29, 29, nil, nil, 30, 29, 28, 27, 30, 28, 26, 24, 37, 33, 29, 25, 25, 19, 13, 7]|||||||||||||||||||		
runestave	runestave	runestave	|0.25|0.2|0.15|0.15|0.075	6	4	0	100	0		10|10|||15|14|13|12|10|8|6|4|15|11|7|3|10|4|-2|-8		
thrown	bola	bola	|0.31|0.225|0.24|0.125|0.15	5	2	0	100	0		25|25|||20|19|18|17|30|28|26|24|25|21|17|13|35|29|23|17		
thrown	dart	dart	|0.125|0.1|0.075|0.055|0.05	2	3	0	0	100		35|35|||30|29|28|27|25|23|21|19|20|16|12|8|10|4|-2|-8		
thrown	discus	discus	|0.255|0.23|0.155|0.11|0.057	5	2	0	100	0		40|40|||35|34|33|32|30|28|26|24|25|21|17|13|30|24|18|12		
thrown	handaxe	handaxe	|0.42|0.3|0.27|0.24|0.21	5	4	33.3	66.7	0		30|30|||32|31|30|29|38|36|34|32|41|37|33|29|41|35|29|23		
thrown	javelin	javelin	|0.4|0.3|0.25|0.25|0.1	4	3	0	0	100		27|27|||28|27|25|25|26|24|22|20|29|25|21|17|20|14|8|2		
thrown	quoit	quoit	|0.255|0.23|0.155|0.11|0.057	5	3	100	0	0		40|40|||35|34|33|32|30|28|26|24|25|21|17|13|30|24|18|12		
thrown	throwing_net	throwing net	|0.05|0.05|0.03|0.03|0.01	7	3	0	0	0	unbalance	25|25|||25|24|23|22|30|28|26|24|40|36|32|28|50|44|38|32		
two_handed	bastard_sword	bastard sword	|0.55|0.4|0.375|0.3|0.225	6	4	66.7	33.3	0		42|42|||45|44|43|42|41|39|37|35|44|40|36|32|43|37|31|25		
two_handed	battle_axe	battle axe	|0.65|0.475|0.5|0.375|0.275	8	4	66.7	33.3	0		35|35|||39|38|37|36|43|41|39|37|50|46|42|38|50|44|38|32		
two_handed	claidhmore	claidhmore	|0.625|0.475|0.5|0.35|0.225	8	4	50	50	0		31|31|||35|34|33|32|34|32|30|28|38|34|30|26|37|31|25|19	critical	40
two_handed	flail	flail	|0.575|0.425|0.4|0.35|0.25	7	4	0	66.7	33.3		40|40|||45|44|43|42|46|44|42|40|51|47|43|39|52|46|40|34		
two_handed	flamberge	flamberge	|0.6|0.45|0.475|0.325|0.225	7	4	50	50	0		39|39|||43|42|41|40|48|46|44|42|50|46|42|38|44|38|32|26		
two_handed	katana	katana	|0.575|0.425|0.4|0.325|0.21	6	4	100	0	0		39|39|||41|40|39|38|40|38|36|34|41|37|33|29|39|33|27|21	critical	10
two_handed	maul	maul	|0.55|0.425|0.425|0.375|0.3	7	4	0	100	0		31|31|||36|35|34|33|44|42|40|38|52|48|44|40|54|48|42|36		
two_handed	military_pick	military pick	|0.5|0.375|0.425|0.375|0.26	7	4	0	33.3	66.7		25|25|||30|29|28|27|40|38|36|34|40|36|32|28|47|41|35|29		
two_handed	quarterstaff	quarterstaff	|0.45|0.35|0.325|0.175|0.1	3	3	0	100	0		25|25|||26|25|24|23|25|23|21|19|26|22|18|14|24|18|12|6		
two_handed	two_handed_sword	two-handed sword	|0.625|0.5|0.5|0.35|0.275	8	4	50	50	0		41|41|||45|44|43|42|44|42|40|38|48|44|40|36|47|41|35|29		
two_handed	war_mattock	war mattock	|0.55|0.45|0.425|0.375|0.275	7	4	0	100	0		32|32|||37|36|35|34|44|42|40|38|48|44|40|36|53|47|41|35		
unarmed	cestus	cestus								|||||||||||||||||||		
unarmed	footwraps	footwraps								|||||||||||||||||||		
unarmed	handwraps	handwraps								|||||||||||||||||||		
unarmed	knuckle_blade	knuckle-blade								|||||||||||||||||||		
unarmed	knuckle_duster	knuckle-duster								|||||||||||||||||||		
unarmed	paingrip	paingrip								|||||||||||||||||||		
unarmed	razorpaw	razorpaw								|||||||||||||||||||		
unarmed	tiger_claw	tiger-claw								|||||||||||||||||||		
unarmed	yierka_spur	yierka-spur								|||||||||||||||||||		
