type	location	rank	damage	position	fatal	stunned	amputated	crippled	sleeping	dazed	limb_favored	roundtime	silenced	slowed	wound_rank	secondary_location	secondary_wound_rank	pattern
acid	right_eye	7	40		1	0	0	0	0	0	0	0	0	0	3	head	3	^Acid burns right through .*? right eye and into the brain.
acid	right_eye	8	45		1	0	0	0	0	0	0	0	0	0	3	head	3	^A blast of acid leaves a gaping hole where .*? eye used to be.
acid	chest	0	0		0	0	0	0	0	0	0	0	0	0	0			^Acid splattered on .*? chest.
acid	chest	1	5		0	0	0	0	0	0	0	0	0	0	1			^Splash to chest runs off before it does worse than blister the skin.
acid	chest	2	10		0	0	0	0	0	0	0	0	0	0	1			^Acid reaches the chest causing a nasty rash.
acid	chest	3	15		0	1	0	0	0	0	0	0	0	0	1			^Spray of acid bites deep into the skin over the sternum.
acid	chest	4	20		0	3	0	0	0	0	0	0	0	0	2			^Acid spray dissolves flesh exposing the muscles over the ribs.
acid	chest	5	25		0	5	0	0	0	0	0	0	0	0	2			^Severe burn to the side of .*? chest exposes ribs.
acid	chest	6	30		0	6	0	0	0	0	0	0	0	0	3			^Acid dissolves connecting cartilage, freeing .*? ribs to move independently.
acid	chest	7	50		0	8	0	0	0	0	0	0	0	0	3			^Acid hole in the ribs makes it hard to breathe.  Better get that checked.
acid	chest	8	60		1	0	0	0	0	0	0	0	0	0	3			^Acid eats into lungs.
acid	chest	9	70		1	0	0	0	0	0	0	0	0	0	3			^Acid bath empties chest.
acid	abdomen	0	0		0	0	0	0	0	0	0	0	0	0	0			^Stung just enough to annoy.
acid	abdomen	1	5		0	0	0	0	0	0	0	0	0	0	1			^Splash of acid catches hip, leaving a painful trail of smoke.
acid	abdomen	2	10		0	0	0	0	0	0	0	0	0	0	1			^Acid burns to the midsection leave a lasting impression.
acid	abdomen	3	15		0	1	0	0	0	0	0	0	0	0	2			^Spray of acid eats into the right hip.
acid	abdomen	4	20		0	3	0	0	0	0	0	0	0	0	2			^Weakened abdomen bulges ominously.
acid	abdomen	5	25		0	5	0	0	0	0	0	0	0	0	2			^Acid dissolves abdominal muscles.
acid	abdomen	6	30		0	6	0	0	0	0	0	0	0	0	3			^Acid opens midsection.
acid	abdomen	7	50		0	8	0	0	0	0	0	0	0	0	3			^Acid burns a hole through the left hip causing severe bleeding.
acid	abdomen	8	60		1	0	0	0	0	0	0	0	0	0	3			^Acid dissolves the outside of the stomach.  Now that's fire in the belly.
acid	abdomen	9	70		1	0	0	0	0	0	0	0	0	0	3			^Acid eats away .*? midsection.
acid	back	0	0		0	0	0	0	0	0	0	0	0	0	0			^.*? gets splattered with a little acid.
acid	back	1	5		0	0	0	0	0	0	0	0	0	0	1			^Splash of acid hits shoulder and runs down the back in a painful trail.
acid	back	2	10		0	0	0	0	0	0	0	0	0	0	1			^Acid works its way into the skin.
acid	back	3	15		0	1	0	0	0	0	0	0	0	0	1			^Spray of caustic liquid burns the skin along the back.
acid	back	4	20		0	3	0	0	0	0	0	0	0	0	2			^Hit eats into the back dissolving part of a shoulder blade.
acid	back	5	25		0	5	0	0	0	0	0	0	0	0	2			^Spray of acid exposes the spine.
acid	back	6	30		0	6	0	0	0	0	0	0	0	0	3			^Acid causes some lower back troubles.
acid	back	7	50		0	8	0	0	0	0	0	0	0	0	3			^Acid causing a gaping hole in the back can't be healthy.
acid	back	8	60		1	0	0	0	0	0	0	0	0	0	3	nerves	3	^Large spot of acid dissolves .*? kidneys.
acid	back	9	70		1	0	0	0	0	0	0	0	0	0	3	nerves	3	^Acid eats away .*? spine and most of what's under it.
acid	left_arm	0	0		0	0	0	0	0	0	0	0	0	0	0			^Splash to the arm hardly touches .*?.
acid	left_arm	1	3		0	0	0	0	0	0	0	0	0	0	1			^.*? avoids the worst of the attack but still gets a singed forearm.
acid	left_arm	2	7		0	0	0	0	0	0	0	0	0	0	1			^Acid gets on the left arm raising some large blisters.
acid	left_arm	3	8		0	1	0	0	0	0	0	0	0	0	1			^Acid raises angry red welts on the arm.
acid	left_arm	4	10		0	2	0	0	0	0	0	0	0	0	2			^Hit on the arm chars the skin and eats into the underlying muscles.
acid	left_arm	5	15		0	3	0	0	0	0	0	0	0	0	2			^Burn to the elbow eats through tendons.  Muscles snap free.
acid	left_arm	6	20		0	5	0	0	0	0	0	0	0	0	2			^Acid dissolves the elbow ligaments.  Arm swings in a very odd manner.
acid	left_arm	7	25		0	6	1	0	0	0	0	0	0	0	3			^The .*? arm is drenched in acid.  Flesh and bones are reduced to a smoking slime.
acid	left_arm	8	35		0	8	1	0	0	0	0	0	0	0	3			^Spray of acid reduces the forearm to gelatin.
acid	left_arm	9	40		0	10	1	0	0	0	0	0	0	0	3			^Acid strikes the arm leaving nothing but a puddle of melted flesh.
acid	right_arm	2	7		0	0	0	0	0	0	0	0	0	0	1			^Acid gets on the right arm raising some large blisters.
acid	left_hand	0	0		0	0	0	0	0	0	0	0	0	0	0			^Splash to the hand hardly touches .*?.
acid	left_hand	1	1		0	0	0	0	0	0	0	0	0	0	1			^Spray just catches the hand as the little finger is badly blistered.
acid	left_hand	2	3		0	0	0	0	0	0	0	0	0	0	1			^Acid gets on the left hand raising some large blisters.
acid	left_hand	3	5		0	0	0	0	0	0	0	0	0	0	1			^Splash to the back of the hand causes the skin to smoke.
acid	left_hand	4	7		0	1	0	0	0	0	0	0	0	0	2			^Spray eats through the skin on the hand and dissolves some ligaments.
acid	left_hand	5	8		0	2	0	0	0	0	0	0	0	0	2			^Excruciating pain as back of hand is dissolved.
acid	left_hand	6	10		0	3	0	0	0	0	0	0	0	0	2			^Severe burn removes several fingers and formerly good parts of the hand.
acid	left_hand	7	15		0	4	1	0	0	0	0	0	0	0	3			^Acid dissolves .*? left hand leaving only smoldering ruin.
acid	left_hand	8	25		0	5	1	0	0	0	0	0	0	0	3			^Acid eats the hand off cleanly leaving only the stump.
acid	left_hand	9	30		0	7	1	0	0	0	0	0	0	0	3			^Acid very slowly eats off .*?hand.
acid	right_hand	2	3		0	0	0	0	0	0	0	0	0	0	1			^Acid gets on the right hand raising some large blisters.
acid	right_hand	7	15		0	4	1	0	0	0	0	0	0	0	3			^Acid dissolves .*? right hand leaving only smoldering ruin.
acid	left_leg	0	0		0	0	0	0	0	0	0	0	0	0	0			^Splash to the leg hardly touches .*?.
acid	left_leg	1	5		0	0	0	0	0	0	0	0	0	0	1			^Bit of acid strikes .*? calf leaving bright red spots.
acid	left_leg	2	10		0	0	0	0	0	0	0	0	0	0	1			^Acid gets on the left leg raising some large blisters.
acid	left_leg	3	15		0	1	0	0	0	0	0	0	0	0	1			^Acid raises angry red welts on the leg.
acid	left_leg	4	17	prone	0	3	0	0	0	0	0	0	0	0	2			^Hit on the leg chars the skin and eats into the underlying muscles.
acid	left_leg	5	20	prone	0	5	0	0	0	0	0	0	0	0	2			^Strike dissolves the tendons in the ankle, effectively severing foot.
acid	left_leg	6	25	prone	0	6	0	0	0	0	0	0	0	0	2			^Acid dissolves the knee ligaments.  The .*? tibia passes .*? femur in a very unpleasant manner.
acid	left_leg	7	30	prone	0	8	1	0	0	0	0	0	0	0	3			^.*? left leg is reduced to a puddle of bubbling slime.
acid	left_leg	8	40	prone	0	10	1	0	0	0	0	0	0	0	3			^Acid hits leg squarely leaving nothing useful behind.
acid	left_leg	9	45	prone	0	12	1	0	0	0	0	0	0	0	3			^Acid to the foot forms a pool into which .*? quickly melts to the hip.
acid	right_leg	2	10		0	0	0	0	0	0	0	0	0	0	1			^Acid gets on the right leg raising some large blisters.
acid	right_leg	7	30	prone	0	8	1	0	0	0	0	0	0	0	3			^.*? right leg is reduced to a puddle of bubbling slime.
cold	head	0	0		0	0	0	0	0	0	0	0	0	0	0			^Hear it whistling through .*? ears.
cold	head	1	5		0	0	0	0	0	0	0	0	0	0	1			^Chilly blast to the head.
cold	head	2	10		0	1	0	0	0	0	0	0	0	0	1			^Cold blast to the ears.
cold	head	3	15		0	3	0	0	0	0	0	0	0	0	2			^Icy blast to the head and .*? is reeling.
cold	head	4	20		0	6	0	0	0	0	0	0	0	0	2			^Solid blow to the head exposes grey matter on ice.
cold	head	5	25		0	10	0	0	0	0	0	0	0	0	3			^Massive strike of icy shards shatters .*? skull.
cold	head	6	30		1	0	0	0	0	0	0	0	0	0	3			^.*? gets a glassy look in .*? eyes as blast connects solidly.
cold	head	7	35		1	0	0	0	0	0	0	0	0	0	3			^Head freezes solid and .*? topples over, shattering skull on impact.
cold	head	8	40		1	0	0	0	0	0	0	0	0	0	3			^Icy shards bombard .*? head and exit .*?, leaving little behind.
cold	head	9	50		1	0	0	0	0	0	0	0	0	0	3			^Freezing blast turns facial features a stunning, but very unhealthy shade of blue.
cold	neck	0	0		0	0	0	0	0	0	0	0	0	0	0			^A cool breeze brushes the nape of .*? neck.
cold	neck	1	2		0	0	0	0	0	0	0	0	0	0	1			^A frosty blow to the neck.
cold	neck	2	5		0	1	0	0	0	0	0	0	0	0	1			^What a stiff neck.
cold	neck	3	10		0	2	0	0	0	0	0	0	0	0	2			^Stiff blast of icy air to neck.
cold	neck	4	12		0	4	0	0	0	0	0	0	0	0	2			^Frigid blast rearranges .*? neck.
cold	neck	5	15		0	8	0	0	0	0	0	0	0	0	3			^Slivers of ice slice .*? throat into ribbons of flesh and blood.
cold	neck	6	20		1	0	0	0	0	0	0	0	0	0	3			^Icy blast to neck freezes .*? words in mid\-speech and leaves .*? speechless\.\.\.permanently.
cold	neck	7	25		1	0	0	0	0	0	0	0	0	0	3			^Base of skull frozen, removing any feeling from the neck down.
cold	neck	8	30		1	0	0	0	0	0	0	0	0	0	3			^Icy shards slice through .*? neck.
cold	neck	9	40		1	0	0	0	0	0	0	0	0	0	3			^Unfortunately that snaps the now frozen neck like an icicle.
cold	left_eye	0	0		0	0	0	0	0	0	0	0	0	0	0			^Frost forms on .*? left eyebrow, aging it a bit.
cold	left_eye	1	1		0	0	0	0	0	0	0	0	0	0	1			^Ice particles sting .*? eye and it blinks rapidly.
cold	left_eye	2	3		0	1	0	0	0	0	0	0	0	0	1			^Chilly blast to the left eye leaves .*? in tears.
cold	left_eye	3	5		0	3	0	0	0	0	0	0	0	0	2			^Cold compresses will help the swelling of .*? left eye.
cold	left_eye	4	10		0	5	0	0	0	0	0	0	0	0	2			^Icy bolt to the left eye.
cold	left_eye	5	20		0	10	0	0	0	0	0	0	0	0	3			^A frigid attack leaves .*? blinded in .*? left eye.
cold	left_eye	6	30		1	0	0	0	0	0	0	0	0	0	3	head	3	^Icy blast blinds .*? eye.
cold	left_eye	7	30		1	0	0	0	0	0	0	0	0	0	3	head	3	^Wicked slash of frigid energy shatters left eye into a thousand tiny particles.
cold	left_eye	8	45		1	0	0	0	0	0	0	0	0	0	3	head	3	^Eye and brain splintered beyond recognition.
cold	left_eye	9	50		1	0	0	0	0	0	0	0	0	0	3	head	3	^Fatal strike to the left eye.
cold	right_eye	0	0		0	0	0	0	0	0	0	0	0	0	0			^Frost forms on .*? right eyebrow, aging it a bit.
cold	right_eye	2	3		0	1	0	0	0	0	0	0	0	0	1			^Chilly blast to the right eye leaves .*? in tears.
cold	right_eye	3	5		0	3	0	0	0	0	0	0	0	0	2			^Cold compresses will help the swelling of .*? right eye.
cold	right_eye	4	10		0	5	0	0	0	0	0	0	0	0	2			^Icy bolt to the right eye.
cold	right_eye	5	20		0	10	0	0	0	0	0	0	0	0	3			^A frigid attack leaves .*? blinded in .*? right eye.
cold	right_eye	7	30		1	0	0	0	0	0	0	0	0	0	3	head	3	^Wicked slash of frigid energy shatters right eye into a thousand tiny particles.
cold	right_eye	9	50		1	0	0	0	0	0	0	0	0	0	3	head	3	^Fatal strike to the right eye.
cold	chest	0	0		0	0	0	0	0	0	0	0	0	0	0			^.*? looks slightly uncomfortable.
cold	chest	1	5		0	0	0	0	0	0	0	0	0	0	1			^Chilly blast to the chest causes heart to skip a beat.
cold	chest	2	10		0	0	0	0	0	0	0	0	0	0	1			^A chilly blast strikes .*? in the chest, knocking .*? back a step.
cold	chest	3	15		0	1	0	0	0	0	0	0	0	0	1			^.*? failed to sidestep the chilly blast.
cold	chest	4	20		0	3	0	0	0	0	0	0	0	0	2			^Frozen ribs take longer to cook, and broken ones to boot.
cold	chest	5	25		0	5	0	0	0	0	0	0	0	0	2			^Solid blast of ice square to the chest rocks .*? back on .*? heels.
cold	chest	6	30		0	6	0	0	0	0	0	0	0	0	3			^Freezing blast opens a gaping hole in .*? chest.
cold	chest	7	30		0	8	0	0	0	0	0	0	0	0	3			^That was a cold blow to the chest.
cold	chest	8	60		1	0	0	0	0	0	0	0	0	0	3			^.*? drops in .*? tracks as the bitter cold freezes .*? lungs solid.
cold	chest	9	70		1	0	0	0	0	0	0	0	0	0	3			^Icy blast deep freezes one perfectly good heart.
cold	abdomen	0	0		0	0	0	0	0	0	0	0	0	0	0			^.*? barely notices the cool burst of energy.
cold	abdomen	1	5		0	0	0	0	0	0	0	0	0	0	1			^Icy chill to .*? midriff.
cold	abdomen	2	10		0	0	0	0	0	0	0	0	0	0	1			^A chilly blow to the stomach winds .*?.
cold	abdomen	3	15		0	1	0	0	0	0	0	0	0	0	1			^The icy blast tears into .*? stomach.
cold	abdomen	4	20		0	3	0	0	0	0	0	0	0	0	2			^A gallant effort to elude the blast, but you got .*? in the hip.
cold	abdomen	5	25		0	5	0	0	0	0	0	0	0	0	2			^Pieces of an icy substance slice .*? abdomen to shreds.
cold	abdomen	6	30		0	6	0	0	0	0	0	0	0	0	2			^A frigid burst of energy to the stomach leaves .*? reeling.
cold	abdomen	7	30		0	8	0	0	0	0	0	0	0	0	3			^.*? reels from a direct hit to the stomach.
cold	abdomen	8	60		1	0	0	0	0	0	0	0	0	0	3			^.*? fails to avoid the icy blast and that, as the story goes, is it.
cold	abdomen	9	70		1	0	0	0	0	0	0	0	0	0	3			^Belly is now a block of ice.
cold	back	0	0		0	0	0	0	0	0	0	0	0	0	0			^A slight shiver runs down .*? back.
cold	back	1	5		0	0	0	0	0	0	0	0	0	0	1			^It looks like .*? will be stiff in the morning.
cold	back	2	10		0	1	0	0	0	0	0	0	0	0	1			^An icy blast to the back.
cold	back	3	15		0	1	0	0	0	0	0	0	0	0	1			^Cool blast to the lower back and .*? staggers.
cold	back	4	20		0	3	0	0	0	0	0	0	0	0	2			^Icy strike to the back scores a direct hit.
cold	back	5	25		0	5	0	0	0	0	0	0	0	0	2			^Strange how the cold can burn.
cold	back	6	30		0	6	0	0	0	0	0	0	0	0	2			^Slivers of ice in the strike easily penetrate to .*? spine.
cold	back	7	30		0	8	0	0	0	0	0	0	0	0	3			^An icy slash across the lower back slices deep into .*? muscle.
cold	back	8	60		1	0	0	0	0	0	0	0	0	0	3	nerves	3	^.*? back is shattered into icy oblivion.
cold	back	9	70		1	0	0	0	0	0	0	0	0	0	3	nerves	3	^Deadly accuracy shatters .*? spine into a thousand tiny icy shards.
cold	left_arm	0	0		0	0	0	0	0	0	0	0	0	0	0			^Look at the goosebumps.
cold	left_arm	1	3		0	0	0	0	0	0	0	0	0	0	1			^.*? winces at the cold blast to the left arm.
cold	left_arm	2	7		0	1	0	0	0	0	0	0	0	0	1			^.*? just got the cold shoulder.
cold	left_arm	3	8		0	1	0	0	0	0	0	0	0	0	1			^.*? left arm trembles with the cold.
cold	left_arm	4	10		0	2	0	0	0	0	0	0	0	0	2			^Left arm is shattered by cold blast.
cold	left_arm	5	15		0	3	0	0	0	0	0	0	0	0	2			^Left arm fractured by an icy blast.
cold	left_arm	6	20		0	5	0	0	0	0	0	0	0	0	2			^Boiling water would feel better than that.
cold	left_arm	7	25		0	6	1	0	0	0	0	0	0	0	3			^.*? left arm is shattered beyond recognition by frigid blow.
cold	left_arm	8	35		0	8	1	0	0	0	0	0	0	0	3			^Shield arm freeze\-dried.
cold	left_arm	9	40		0	10	1	0	0	0	0	0	0	0	3			^Advanced case of frostbite and shield arm is history.
cold	right_arm	1	3		0	0	0	0	0	0	0	0	0	0	1			^.*? winces at the cold blast to the right arm.
cold	right_arm	3	8		0	1	0	0	0	0	0	0	0	0	1			^.*? right arm trembles with the cold.
cold	right_arm	4	10		0	2	0	0	0	0	0	0	0	0	2			^Cold blast rends muscles from bone.
cold	right_arm	5	15		0	3	0	0	0	0	0	0	0	0	2			^Right arm shattered by an extremely well placed hit.
cold	right_arm	6	20		0	5	0	0	0	0	0	0	0	0	2			^.*? pales as your chillingly accurate shot penetrates to the bone.
cold	right_arm	7	25		0	6	1	0	0	0	0	0	0	0	3			^Icy blast takes right arm off at the shoulder.
cold	right_arm	8	35		0	8	1	0	0	0	0	0	0	0	3			^Weapon arm freeze\-dried.
cold	right_arm	9	40		0	10	1	0	0	0	0	0	0	0	3			^Advanced case of frostbite removes right arm at the shoulder.
cold	left_hand	0	0		0	0	0	0	0	0	0	0	0	0	0			^Cold hands, warm heart.
cold	left_hand	1	1		0	0	0	0	0	0	0	0	0	0	1			^.*? left hand turns an interesting shade of light blue.
cold	left_hand	2	3		0	0	0	0	0	0	0	0	0	0	1			^Bet .*? wants warm pockets now.
cold	left_hand	3	5		0	0	0	0	0	0	0	0	0	0	1			^.*? jumps back as your chilly attack bruises .*? left hand.
cold	left_hand	4	8		0	1	0	0	0	0	0	0	0	0	2			^Icy blast freezes .*? left hand.
cold	left_hand	5	10		0	3	0	0	0	0	0	0	0	0	2			^.*? fingers snap as .*? left hand freezes solid.
cold	left_hand	6	10		0	3	0	0	0	0	0	0	0	0	2			^.*? grimaces as your attack fractures .*? left wrist.
cold	left_hand	7	10		0	4	1	0	0	0	0	0	0	0	3			^Polar blast decimates .*? left hand.
cold	left_hand	8	25		0	5	1	0	0	0	0	0	0	0	3			^Who needs a left hand anyway.
cold	left_hand	9	30		0	7	1	0	0	0	0	0	0	0	3			^Frigid blast renders .*? left hand useless.
cold	right_hand	1	1		0	0	0	0	0	0	0	0	0	0	1			^.*? right hand turns an interesting shade of light blue.
cold	right_hand	2	3		0	0	0	0	0	0	0	0	0	0	1			^A pair of gloves would have helped.
cold	right_hand	3	5		0	0	0	0	0	0	0	0	0	0	1			^.*? jumps back as your chilly attack bruises .*? weapon hand.
cold	right_hand	4	8		0	1	0	0	0	0	0	0	0	0	2			^Icy blast freezes .*? right hand.
cold	right_hand	5	10		0	3	0	0	0	0	0	0	0	0	2			^.*? fingers snap as .*? right hand freezes solid.
cold	right_hand	6	10		0	3	0	0	0	0	0	0	0	0	2			^.*? grimaces as your attack fractures .*? right wrist.
cold	right_hand	7	10		0	4	1	0	0	0	0	0	0	0	3			^Polar blast decimates .*? right hand.
cold	right_hand	8	25		0	5	1	0	0	0	0	0	0	0	3			^Right hand freezes solid before falling off.
cold	right_hand	9	30		0	7	1	0	0	0	0	0	0	0	3			^Frigid blast renders .*? right hand useless.
cold	left_leg	0	0		0	0	0	0	0	0	0	0	0	0	0			^A cool breeze brushes .*? left leg, barely raising a hair.
cold	left_leg	1	5		0	0	0	0	0	0	0	0	0	0	1			^That was a good hit to the left leg.
cold	left_leg	2	10		0	0	0	0	0	0	0	0	0	0	1			^.*? looks as if a hot foot would feel good about now.
cold	left_leg	3	10		0	1	0	0	0	0	0	0	0	0	1			^.*? falters as a chill blast of air strikes .*? left leg.
cold	left_leg	4	17		0	3	0	0	0	0	0	0	0	0	2			^Blast of cold air to left knee causes a polar knee cap.
cold	left_leg	5	20	prone	0	5	0	0	0	0	0	0	0	0	2			^.*? staggers as your icy attack shatters .*? left leg.
cold	left_leg	6	25	prone	0	6	0	0	0	0	0	0	0	0	2			^Pain fills .*? face as .*? left ankle shatters from the icy blast.
cold	left_leg	7	30	prone	0	8	1	0	0	0	0	0	0	0	3			^What was once .*? left leg shatters with your well placed strike.
cold	left_leg	8	40	prone	0	10	1	0	0	0	0	0	0	0	3			^A freezing and accurate strike renders .*? left leg a fond memory.
cold	left_leg	9	45	prone	0	12	1	0	0	0	0	0	0	0	3			^Frigid blast shatters .*? left leg beyond all recognition.
cold	right_leg	0	0		0	0	0	0	0	0	0	0	0	0	0			^A cool breeze brushes .*? right leg, barely raising a hair.
cold	right_leg	1	5		0	0	0	0	0	0	0	0	0	0	1			^That was a good hit to the right leg.
cold	right_leg	2	10		0	0	0	0	0	0	0	0	0	0	1			^.*? appears to be getting cold feet.
cold	right_leg	3	15		0	1	0	0	0	0	0	0	0	0	1			^.*? dances as the blast of cold air contacts heretofore warm toes.
cold	right_leg	4	17		0	3	0	0	0	0	0	0	0	0	2			^Blast of cold air to right knee causes a polar knee cap.
cold	right_leg	5	20	prone	0	5	0	0	0	0	0	0	0	0	2			^.*? staggers as your icy attack shatters .*? right leg.
cold	right_leg	6	25	prone	0	6	0	0	0	0	0	0	0	0	2			^Pain fills .*? face as .*? right ankle shatters from the icy blast.
cold	right_leg	7	30	prone	0	8	1	0	0	0	0	0	0	0	3			^What was once .*? right leg shatters with your well placed strike.
cold	right_leg	8	40	prone	0	10	1	0	0	0	0	0	0	0	3			^A freezing and accurate strike renders .*? right leg a (?:fond )?memory.
cold	right_leg	9	45	prone	0	12	1	0	0	0	0	0	0	0	3			^Frigid blast shatters .*? right leg beyond all recognition.
crush	head	0	0		0	0	0	0	0	0	0	0	0	0	0			^Love tap upside .*? head.
crush	head	1	5		0	0	0	0	0	0	0	0	0	0	1			^Blow to the head causes .*? ears to ring.
crush	head	2	10		0	1	0	0	0	0	0	0	0	0	1			^Hearty smack to the head.
crush	head	3	15		0	4	0	0	0	0	0	0	0	0	2			^You broke .*? nose.
crush	head	4	20		0	8	0	0	0	0	0	0	0	0	3			^Skull cracks in several places.
crush	head	5	25		1	0	0	0	0	0	0	0	0	0	3			^Solid strike caves .*? skull in, resulting in instant death.
crush	head	6	30		1	0	0	0	0	0	0	0	0	0	3			^Mighty swing separates head from shoulders.
crush	head	7	35		1	0	0	0	0	0	0	0	0	0	3			^Tremendous blow crushes skull like a ripe melon.
crush	head	8	40		1	0	0	0	0	0	0	0	0	0	3			^Brain driven into neck by mammoth downswing.
crush	head	9	50		1	0	0	0	0	0	0	0	0	0	3			^Incredible blast shatters head into a red spray.
crush	neck	0	0		0	0	0	0	0	0	0	0	0	0	0			^You leave a nice bruise on .*? neck.
crush	neck	2	5		0	1	0	0	0	0	0	0	0	0	1			^Neck vertebrae snap.
crush	neck	3	10		0	3	0	0	0	0	0	0	0	0	2			^Shot to the neck scrapes away skin.
crush	neck	4	12		0	6	0	0	0	0	0	0	0	0	3			^.*? makes gurgling noises.
crush	neck	5	15		1	0	0	0	0	0	0	0	0	0	3			^.*? twitches several times before dying.
crush	neck	6	20		1	0	0	0	0	0	0	0	0	0	3			^You hear several snaps as .*? neck is broken in several places.
crush	neck	7	25		1	0	0	0	0	0	0	0	0	0	3			^Vertebrae in .*? neck disintegrate from impact.
crush	neck	8	30		1	0	0	0	0	0	0	0	0	0	3			^Shot to neck sends .*? into shock which leads very quickly to death.
crush	neck	9	40		1	0	0	0	0	0	0	0	0	0	3			^Neck removed, head falls to the ground.
crush	left_eye	0	0		0	0	0	0	0	0	0	0	0	0	0			^Swing at .*? eye catches an eyebrow instead.
crush	left_eye	1	1		0	0	0	0	0	0	0	0	0	0	1			^Cut over .*? left eye.
crush	left_eye	2	3		0	1	0	0	0	0	0	0	0	0	2			^Strike to the eye clips the eyebrow.
crush	left_eye	3	5		0	3	0	0	0	0	0	0	0	0	2			^Smack to the eye bursts blood vessels.
crush	left_eye	4	10		0	5	0	0	0	0	0	0	0	0	2			^Crack to the head swells eye shut.
crush	left_eye	5	15		0	10	0	0	0	0	0	0	0	0	3			^Eye crushed by a hard blow to the face.
crush	left_eye	6	20		0	12	0	0	0	0	0	0	0	0	3			^Crushing blow to head closes that eye for good.
crush	left_eye	7	40		1	0	0	0	0	0	0	0	0	0	3	head	3	^Blow to eye impacts the brain.
crush	left_eye	8	45		1	0	0	0	0	0	0	0	0	0	3	head	3	^Left eye ripped from head, along with most of brain.
crush	left_eye	9	50		1	0	0	0	0	0	0	0	0	0	3	head	3	^Smash to cheek driving bone through the eye and into the brain.
crush	right_eye	1	1		0	0	0	0	0	0	0	0	0	0	1			^Cut over .*? right eye.
crush	right_eye	8	45		1	0	0	0	0	0	0	0	0	0	3	head	3	^Right eye ripped from head, along with most of brain.
crush	chest	0	0		0	0	0	0	0	0	0	0	0	0	0			^Thumped .*? chest.
