coord	label	command	category
2524,1749	cry @	cry @	0
2524,1750	grin @	grin @	0
2524,1751	laugh @	laugh @	0
2524,1752	guild @	gld @	0
2524,1753	accept	accept	0
2524,1754	cancel	cancel	0
2524,1755	decline	decline	0
2524,1757	symbol @	symbol @	0
2524,1758	stance @	stance @	0
2524,1759	accept confirm	accept confirm	0
2524,1760	clench @	clench @	0
2524,1761	group open	group open	0
2524,1762	group close	group close	0
2524,1763	policy	policy @	0
2524,1764	gaze @	gaze @	0
2524,1765	flags @	flags @	0
2524,1767	scratch @	scratch @	0
2524,1769	tilt @	tilt @	0
2524,1770	stunmaneuver @	stunman @	0
2524,1772	accept challenge	challenge # accept	9_challenge
2524,1773	refuse challenge	challenge # refuse	9_challenge
2524,1774	grunt @	grunt @	0
2524,1775	swear @	swear @	0
2524,1788	agree	agree	0
2524,1790	news @	news @	0
2524,1791	next news item	news next	0
2524,1792	sweat @	sweat @	0
2524,1796	default quicklinks	_qlinks default	0
2524,1797	combat quicklinks	_qlinks combat	0
2524,1798	Simutronics Info Quicklinks	_qlinks simu	0
2524,1799	mentor quicklinks	_qlinks mentor	0
2524,1800	custom quicklinks	_qlinks custom	0
2524,1801	strut @	strut @	0
2524,1802	crack @	crack @	0
2524,1803	wiggle @	wiggle @	0
2524,1805	befriend clear all	befriend clear all	0
2524,1806	befriend list	befriend list	0
2524,1807	available cultural background ti	title culture list	0
2524,1808	display your current title	title show	0
2524,1809	available prename titles	title prename list	0
2524,1810	clear your prename title	title prename clear	0
2524,1811	available profession titles	title profession list	0
2524,1812	clear your profession title	title profession clear	0
2524,1813	available ancillary titles	title ancillary list	0
2524,1814	fold @	fold #	5_roleplay
2524,1815	fold @	fold @	0
2524,1816	roshambo @	roshambo @	0
2524,1817	view full player list	who full	0
2524,1818	tremble @	tremble @	0
2524,1819	breathe @	breathe @	0
2524,1821	beg @	beg @	0
2524,1822	alteration guidelines	alter @	0
2524,1823	attend @	attend @	0
2524,1824	express @	express @	0
2524,1825	vote start @	vote start @	0
2524,1826	vote @	vote @	0
2524,1827	open dialog	_dialog # @	0
2524,1828	age @	age @	0
2524,1829	age set @	age set @	0
2524,1830	set age descriptor	age set descriptor @	0
2524,1831	tone @	tone @	0
2524,1833	convert set @	convert set @	0
2524,1834	convert set @ confirm	convert set @ confirm	0
2524,1835	daydream	daydream	0
2524,1836	speak @	speak @	0
2524,1837	ready help	ready help	2
2524,1864	go @	go @	4
2524,1865	prepare @	prepare @	0
2524,1867	spell all	_spell _spell_bard	0
2524,1868	spell all	_spell _spell_cleric	0
2524,1869	spell all	_spell _spell_empath	0
2524,1870	spell all	_spell _spell_major_elemental	0
2524,1871	spell all	_spell _spell_minor_elemental	0
2524,1872	spell all	_spell _spell_major_mental	0
2524,1873	spell all	_spell _spell_major_spirit	0
2524,1874	spell all	_spell _spell_monk	0
2524,1875	spell all	_spell _spell_paladin	0
2524,1876	spell all	_spell _spell_oldempath	0
2524,1877	spell all	_spell _spell_ranger	0
2524,1878	spell all	_spell _spell_savant	0
2524,1879	spell all	_spell _spell_sorcerer	0
2524,1880	spell all	_spell _spell_update_links	0
2524,1881	spell all	_spell _spell_update_old_1	0
2524,1882	spell all	_spell _spell_update_old_2	0
2524,1883	spell all	_spell _spell_update_old_3	0
2524,1884	spell all	_spell _spell_wizard	0
2524,1885	spell all	_spell _spell_minor_spirit	0
2524,1886	spell all	_spell _spell_minor_mental	0
2524,1887	news @	news @	1_news
2524,1888	advice	advice	0
2524,1889	get directions to @	directions @	0
2524,1890	news help	news help	0
2524,1897	chant retribution @	chant retribution @	6
2524,1898	look @	look @	1
2524,1899	stand up	stand	0
2524,1900	lean @	lean @	4
2524,1901	ask @	ask @	9
2524,1902	order	order @	8
2524,1903	check balance	check balance	1
2524,1904	swim @	swim @	4
2524,1906	ask @ about %	ask # about %	9_questions
2524,1907	ask @ for %	ask # for %	9_questions
2524,1908	tell eye to blink %	tell eye to blink %	3_tell
2524,1909	tell eye to bat %	tell eye to bat %	3_tell
2524,1910	directions	directions @	7
2524,1922	unlatch @	unlatch #	3
2524,1923	latch @	latch #	3
2524,1924	give	give @	8
2524,1925	order	order #	2
2524,1926	go @	go table	3
2524,1927	ring @	ring #	3
2524,1928	yawn	yawn #	5
2524,1929	waggle fingers	waggle #	5
2524,1930	grip %	grip @	3
2524,1931	society reset	society reset	0
2524,1932	society reset confirm	society reset confirm	0
2524,1933	cast at self	cast	6
2524,1934	release	release	6
2524,1935	sing at self	sing	6
2524,1936	jump @	jump #	4
2524,1937	check in	check in	1
2524,1938	push @	push #	3
2524,1940	pay	pay @	0
2524,1941	pay @	_dialog # pay	0
2524,1942	pin @	pin @	0
2524,1943	get coins from @	_dialog # get	2
2524,1944	put coins in @	_dialog # drop	2
2524,1945	lock @	lock #	3
2524,1946	unlock @	unlock #	3
2524,1947	giftbox @	giftbox @	0
2524,1948	sit on @	sit #	5_roleplay
2524,1949	assist @	assist @	1
2524,1950	assist request	_dialog # assist request	1
2524,1951	bug	bug	1
2524,1952	typo @	_dialog # typo	1
2524,1953	comment @	_dialog # comment	1
2524,1954	queue	queue	1
2524,1957	referral @	referral @	1
2524,1958	report @	_dialog # report	1
2524,1959	profile @	profile #	1
2524,1960	answer	_dialog # answer	9
2524,1961	profile toggle group	profile toggle group	0
2524,1962	profile toggle level	profile toggle level	0
2524,1963	profile toggle age	profile toggle age	0
2524,1964	profile toggle house	profile toggle house	0
2524,1965	profile toggle society	profile toggle society	0
2524,1966	profile toggle guild	profile toggle guild	0
2524,1967	profile toggle deity	profile toggle deity	0
2524,1968	profile toggle foe	profile toggle foe	0
2524,1969	profile toggle bio	profile toggle bio	0
2524,1970	profile quote clear	profile quote clear	0
2524,1971	0	0	0
2524,1972	profile info	profile info                   	0
2524,1973	rgambit @	rgambit @	1
2524,1975	learn @	cman learn @	1
2524,1976	unlearn @	cman unlearn @	1
2524,1978	info	cman info	1
2524,1979	help @	cman help @	1
2524,1982	list @	cman list @	1
2524,1983	target random	target random	0
2524,1984	set as default sheath	sheathe #	1
2524,1985	clear default sheath	sheathe clear	1
2524,1986	set as default weapon	unsheathe #	1
2524,1987	clear default weapon	unsheathe clear	1
2524,1988	unsheathe @	unsheathe @	2
2524,1989	store @	store @	2
2524,1990	ready @	ready @	2
2524,1991	set as default shield	ready shield #	1
2524,1992	clear default shield	ready shield clear	1
2524,1993	invoke %	invoke %	3_invoke spell
2524,1994	invoke %	invoke @	0
2524,1997	shriek @	shriek #	5_roleplay
2524,1998	wtricks @	wtricks @	0
2524,1999	buy @	buy #	10
2524,2000	more	more	0
2524,2001	backroom	backroom	0
2524,2002	menu	menu	0
2524,2003	done	done	0
2524,2004	customize	customize	0
2524,2005	back	back	0
2524,2006	refuse offer	refuse offer	0
2524,2007	offer silvers	_dialog # offer	8
2524,2008	1	1	0
2524,2009	2	2	0
2524,2010	3	3	0
2524,2011	4	4	4
2524,2012	5	5	0
2524,2013	6	6	0
2524,2014	7	7	drag
2524,2015	8	8	0
2524,2016	9	9	0
2524,2017	unlink @	unlink @	0
2524,2018	help @	_help @	1
2524,2019	movement @	movement @	0
2524,2020	smile @	smile #	5_roleplay
2524,2021	squeal @	squeal #	5_roleplay
2524,2022	lick @	lick #	3
2524,2023	hiss @	hiss #	5
2524,2025	smell @	smell #	5_roleplay
2524,2026	pinch @	pinch #	5_roleplay
2524,2027	roll @	roll #	5_roleplay
2524,2028	raise @	raise #	3
2524,2029	thump @	thump #	6
2524,2030	ponder @	ponder #	5_roleplay
2524,2031	gawk @	gawk #	5_roleplay
2524,2032	glower @	glower #	5_roleplay
2524,2033	pet @	pet #	5_roleplay
2524,2034	place bet	_dialog # 135	3
2524,2035	mount @	mount #	5_roleplay
2524,2036	dismiss @	dismiss #	5_roleplay
2524,2037	pour % on @	pour % on #	3_pour
2524,2038	wave % at @	wave % at @	3
2524,2039	offer @	offer #	0
2524,2040	poke @	poke #	5_roleplay
2524,2041	kick @	kick #	6
2524,2042	punch @	punch #	6
2524,2043	lie on @	lie #	5_roleplay
2524,2044	groan @	groan #	5_roleplay
2524,2045	steal from @	steal #	8
2524,2046	cheer @	cheer #	5_roleplay
2524,2047	tell eye to return	tell eye to return	3_tell
2524,2048	tell eye to look	tell eye to look	3_tell
2524,2049	nudge @	nudge #	5_roleplay
2524,2050	pour % in @	pour right in #	3_pour
2524,2051	pour % in @	pour left in #	3_pour
2524,2052	kiss @	kiss #	5_roleplay
2524,2053	bury @	bury #	5_roleplay
2524,2054	kneel @	kneel #	5_roleplay
2524,2055	fly @	fly #	3
2524,2056	light @ with %	light # with %	3
2524,2057	tickle @	tickle #	5_roleplay
2524,2058	blink @	blink #	5_roleplay
2524,2059	check time until departure	depart	0
2524,2060	cringe @	cringe #	5_roleplay
2524,2061	splash @	splash #	5_roleplay
2524,2062	gasp @	gasp #	5_roleplay
2524,2063	glare @	glare #	5_roleplay
2524,2064	snort @	snort #	5_roleplay
2524,2065	sneer @	sneer #	5_roleplay
2524,2066	scoff @	scoff #	5_roleplay
2524,2067	cower from @	cower #	5_roleplay
2524,2068	spin @	spin #	3
2524,2069	puff @	puff #	5_roleplay
2524,2070	extinguish @	extinguish #	3
2524,2071	smack your lips	smooch	0
2524,2072	dig	dig	5_roleplay
2524,2073	slap @	slap #	5_roleplay
2524,2074	prod @	prod #	5_roleplay
2524,2075	crack your knuckles	pinch	0
2524,2076	water @	water #	5_roleplay
2524,2077	grimace @	grimace #	5_roleplay
2524,2080	throw @	throw #	6
2524,2081	listen @	listen #	9
2524,2082	fire @	fire #	6
2524,2083	throw % at @	throw % at #	5_roleplay
2524,2084	pour % behind @	pour % behind #	3_pour
2524,2085	pour % in @	pour % in #	3_pour
2524,2086	pour %	pour left	3_pour
2524,2087	pour % behind @	pour left behind #	3_pour
2524,2088	pour % on @	pour left on #	3_pour
2524,2089	pour % under @	pour left under #	3_pour
2524,2090	pour %	pour right	3_pour
2524,2091	pour % behind @	pour right behind #	3_pour
2524,2092	pour % on @	pour right on #	3_pour
2524,2093	pour % under @	pour right under #	3_pour
2524,2094	pour % under @	pour % under #	3_pour
2524,2095	ambush @ %	ambush # @	6_ambush
2524,2096	shake @	shake #	5_roleplay
2524,2097	register @	register #	1
2524,2098	inquire about @	register info #	1
2524,2099	deposit	_dialog # deposit	0
2524,2100	check	check	0
2524,2101	withdraw	_dialog # withdra	0
2524,2102	group	group	0
2524,2103	demeanor @	demeanor @	0
2524,2104	demeanor % @	demeanor % @	0
2524,2105	turn @ %	turn # %	5
2524,2106	premium @	premium @	0
2524,2107	climb	climb @	0
2524,2108	sweat @	sweat #	5_roleplay
2524,2109	pierce @	pierce @	2
2524,2113	message a mentor	_dialog # mentor message	11_mentor
2524,2114	attune @	attune @	0
2524,2115	tell familiar to go @	tell familiar to go @	0
2524,2116	swap	swap	1
2524,2119	challenge @ to joust	joust challenge @	6
2524,2120	accept challenge	joust accept @	6
2524,2121	sit %	sit %	5_roleplay
2524,2122	joust @	joust @	6
2524,2123	invite @	invite #	5
2524,2124	invite group led by @	invite # group	5
2524,2125	guild stance advanced	gld stance advance	0
2524,2126	guild stance forward	gld stance forward	0
2524,2127	guild stance neutral	gld stance neutral	0
2524,2128	guild stance guarded	gld stance guarded	0
2524,2129	go @	go booth	3
2524,2130	convert list	convert list	0
2524,2131	advance towards @	joust advance @	6
2524,2136	blush at @	blush @	5_roleplay
2524,2137	fix @	fix @	3
2524,2138	citizen @	citizen @	1
2524,2139	hide	hide	0
2524,2140	hoot	hoot	5
2524,2141	cmastery @	cman cmastery @	6
2524,2142	tell eye to go @	tell eye to go @	0
2524,2143	tell eye to bloodshot	tell eye to bloodshot	0
2524,2145	cure %	cure %	6
2524,2146	cure blood loss	cure	6
2524,2153	seek out a Mentor	helpme	0
2524,2159	tell eye to sneeze	tell eye to sneeze	0
2524,2160	tell eye to roll	tell eye to roll	0
2524,2161	tell @ %	tell @ %	1
2524,2162	show right to @	show right to #	8
2524,2163	show left to @	show left to #	8
2524,2165	tell eye to revolve	tell eye to revolve	0
2524,2166	tell eye to cry	tell eye to cry	0
2524,2167	smell @	smell #	5_roleplay
2524,2168	roll @	roll #	7
2524,2169	stop dragging @	drag stop	4
2524,2170	tell eye to blind	tell eye to blind	0
2524,2171	help on profiles	profile help	0
2524,2172	tell eye to widen	tell eye to widen	0
2524,2173	tell eye to narrow	tell eye to narrow	0
2524,2174	tell eye to hover	tell eye to hover	0
2524,2176	lean right	lean right	0
2524,2177	lean left	lean left	0
2524,2178	submit bug report @	_dialog # bugitem	0
2524,2179	cock @	cock #	3
2524,2180	load @	load #	3
2524,2181	ponder @	ponder #	5_roleplay
2524,2182	tend @	tend @	8
2524,2183	diagnose @	diagnose #	8
2524,2184	transfer @ %	transfer # %	8
2524,2185	transfer @ right leg	transfer # right leg	8
2524,2186	transfer @ left leg	transfer # left leg	8
2524,2187	transfer @ right arm	transfer # right arm	8
2524,2188	transfer @ left arm	transfer # left arm	8
2524,2189	transfer @ right hand	transfer # right hand	8
2524,2190	transfer @ left hand	transfer # left hand	8
2524,2191	transfer @ head	transfer # head	8
2524,2192	transfer @ neck	transfer # neck	8
2524,2193	transfer @ chest	transfer # chest	8
2524,2194	transfer @ abdomen	transfer # abdomen	8
2524,2195	transfer @ back	transfer # back	8
2524,2196	transfer @ right eye	transfer # right eye	8
2524,2197	transfer @ left eye	transfer # left eye	8
2524,2198	transfer @ nerves	transfer # nerves	8
2524,2199	transfer @ health damage	transfer #	8
2524,2200	transfer @ any	transfer # any	8
2524,2201	write	write @	3
2524,2202	write @	write #	3
2524,2203	clean @	clean #	5_roleplay
2524,2204	blush @	blush @	5
2524,2210	quickstrike @	cman qstrike #	6_combat maneuvers
2524,2211	shield bash @	cman sbash #	6_combat maneuvers
2524,2212	shield charge @	cman scharge #	6_combat maneuvers
2524,2213	mighty blow @	cman mblow #	6_combat maneuvers
2524,2214	sunder shield @	cman sunder #	6_combat maneuvers
2524,2215	growl @	growl @	5
2524,2216	howl @	howl @	5
2524,2217	bark @	bark @	5
2524,2218	purr @	purr @	5
2524,2219	whistle @	whistle @	5
2524,2220	whistle bird @	whistle bird @	3_roleplay
2524,2221	hoot @	hoot @	5
2524,2222	imitate bird @	imitate bird @	5
2524,2223	imitate owl @	imitate owl @	5
2524,2224	imitate feline @	imitate feline @	5
2524,2225	imitate bear @	imitate bear @	5
2524,2226	imitate dog @	imitate dog @	5
2524,2227	imitate wolf @	imitate wolf @	5
2524,2228	imitate howl @	imitate howl @	5
2524,2229	imitate purr @	imitate purr @	5
2524,2230	imitate growl @	imitate growl @	5
2524,2231	imitate hoot @	imitate hoot @	5
2524,2232	imitate whistle @	imitate whistle @	5
2524,2233	imitate bark @	imitate bark @	5
2524,2234	imitate features of @	imitate features #	5_roleplay
2524,2235	imitate @	imitate @	5
2524,2236	say @	say @	5
2524,2237	gather	gather #	2
2524,2238	send thought	_dialog # think open	9
2524,2239	search	search	0
2524,2240	stick out tongue	lick	0
2524,2242	tes&t	/josh	0
2524,2243	wave	wave	5_RP
2524,2249	tilt @	tilt #	5_roleplay
2524,2250	flip @	flip #	5_roleplay
2524,2251	engrave @	engrave @	3
2524,2252	/STATUS	/STATUS #	13
2524,2257	tap your foot	tap	0
2524,2258	peer	peer	0
2524,2259	info @	info @	1
2524,2260	gawk @	gawk @	5_roleplay
2524,2261	exhale	exhale	0
2524,2264	scratch @	scratch #	5_roleplay
2524,2271	speak to	_dialog # say	9
2524,2272	steal from @	steal #	8
2524,2273	loresing @	loresing @	0
2524,2274	bid @	bid @	0
2524,2275	help on groups	group help	0
2524,2276	designate as leader	group leader #	7
2524,2277	remove from group	group remove #	7
2524,2279	disband group	disband	0
2524,2281	bid start	_dialog @ bid start	0
2524,2282	bid increment percent	_dialog @ bid increment percent	0
2524,2283	bid increment absolute	_dialog @ bid increment absolute	0
2524,2284	bid minimum	_dialog @ bid minimum	0
2524,2285	bid minimum default	_dialog @ bid minimum default	0
2524,2286	bid dutch start	_dialog @ bid dutch start	0
2524,2287	bid dutch decrement	_dialog @ bid dutch decrement	0
2524,2288	bid dutch change	_dialog @ bid dutch change	0
2524,2289	bid silent start	_dialog @ bid silent start	0
2524,2290	bid	_dialog @ bid amount	9
2524,2291	bid	_dialog % bid amount	9
2524,2292	bid ban @	bid ban #	9
2524,2293	auction @	auction @	0
2524,2294	roll	roll	0
2524,2295	garrote stop	garrote stop	6
2524,2296	garrote stop	garrote stop	6
2524,2297	shiver	shiver	0
2524,2298	scowl	scowl	0
2524,2299	wealth	wealth	0
2524,2300	bet	bet	0
2524,2301	bet on %	_dialog # bet %	0
2524,2303	roleplay award nomination	_dialog # roleplay nominate	5_roleplay
2524,2316	twist @	twist #	5_roleplay
2524,2317	pray	pray	0
2524,2318	give	give	0
2524,2319	exhale @	exhale #	5_roleplay
2524,2320	illusion @	illusion @	5
2524,2321	illusion teach list	illusion teach list	5
2524,2322	list titles	title list @	0
2524,2323	set title	title set @	0
2524,2324	cover @	cover #	5_roleplay
2524,2325	punish @	punish #	5_RP
2524,2326	beam	beam	0
2524,2327	bow	bow @	0
2524,2328	chuckle	chuckle	0
2524,2329	frown	frown	0
2524,2330	glance	glance	0
2524,2331	glare	glare	0
2524,2332	nod	nod	0
2524,2333	dust @	dust #	5_roleplay
2524,2334	slide @	slide #	0
2524,2335	flick @	flick #	2
2524,2336	dig @	dig #	5_roleplay
2524,2338	stare into space	stare	0
2524,2340	feed @	feed #	3
2524,2341	cuddle @	cuddle #	51
2524,2342	pound @	pound @	5_roleplay
2524,2343	belch @	belch @	0
2524,2345	gld abandon	_dialog @ gld abandon	1
2524,2349	fidget @	fidget @	0
2524,2350	fidget @	fidget @	0
2524,2351	Real Gem info	gem	0
2524,2352	imitate roar @	imitate roar @	5
2524,2353	imitate squeal @	imitate squeal @	5
2524,2354	imitate shriek @	imitate shriek @	5
2524,2356	turn @ to %	_dialog # turn	5
2524,2361	berserk @	berserk #	6
2524,2363	flap at @	flap #	5
2524,2364	flap at @	flap    	5
2524,2365	flutter	flutter	5
2524,2366	flutter at @	flutter_at @	5
2524,2367	ask	ask	0
2524,2373	blink	blink	0
2524,2374	flirt	flirt	0
2524,2375	squint	squint	0
2524,2376	bristle	bristle	5
2524,2377	bristle smug	bristle smug	5
2524,2380	bristle sleepy	bristle sleepy	5
