# Generated by tools/extract_psm_costs.rb from Lich's PSM tables.
# Do not hand-edit: re-run the tool.
# source	reference/lich-5/lib/gemstone/psms
# source-commit	236a9a2 2026-09-16
# rows	187
# while_cooling: the cost while the PSM's own cooldown is up, when it differs (cman.rb:62,576)
category	mnemonic	long_name	type	gauge	cost	while_cooling	source
cman	mongoose	stance_of_the_mongoose	martial_stance	stamina	20		lich-5/lib/gemstone/psms/cman.rb:514
cman	asp	striking_asp	martial_stance	stamina	20		lich-5/lib/gemstone/psms/cman.rb:522
cman	stunman	stun_maneuvers	buff	stamina	10		lich-5/lib/gemstone/psms/cman.rb:530
cman	subdue	subdue	setup	stamina	9		lich-5/lib/gemstone/psms/cman.rb:548
cman	spunch	sucker_punch	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:558
cman	sunder	sunder_shield	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:568
cman	surge	surge_of_strength	buff	stamina	30	60	lich-5/lib/gemstone/psms/cman.rb:576
cman	sweep	sweep	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:584
cman	swiftkick	swiftkick	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:592
cman	tackle	tackle	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:600
cman	tainted	tainted_bond	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:607
cman	templeshot	templeshot	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:614
cman	throatchop	throatchop	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:624
cman	trip	trip	setup	stamina	7		lich-5/lib/gemstone/psms/cman.rb:634
cman	truestrike	true_strike	attack	stamina	15		lich-5/lib/gemstone/psms/cman.rb:642
cman	unarmedspec	unarmed_specialist	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:649
cman	vaultkick	vault_kick	setup	stamina	30		lich-5/lib/gemstone/psms/cman.rb:656
cman	wspec	weapon_specialization	passive	stamina	0		lich-5/lib/gemstone/psms/cman.rb:663
cman	dervish	whirling_dervish	martial_stance	stamina	20		lich-5/lib/gemstone/psms/cman.rb:670
feat	absorbmagic	absorb_magic	buff	stamina	0		lich-5/lib/gemstone/psms/feat.rb:28
feat	chainarmor	chain_armor_proficiency	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:36
feat	chastise	chastise	attack	stamina	10		lich-5/lib/gemstone/psms/feat.rb:43
feat	combatmastery	combat_mastery	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:50
feat	escapeartist	covert_art_escape_artist	reaction	stamina	0		lich-5/lib/gemstone/psms/feat.rb:57
feat	keeneye	covert_art_keen_eye	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:65
feat	poisoncraft	covert_art_poisoncraft	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:72
feat	sidestep	covert_art_sidestep	buff	stamina	10		lich-5/lib/gemstone/psms/feat.rb:79
feat	swiftrecovery	covert_art_swift_recovery	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:86
feat	throwpoison	covert_art_throw_poison	attack	stamina	15		lich-5/lib/gemstone/psms/feat.rb:93
feat	covert	covert_arts	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:102
feat	criticalcounter	critical_counter	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:109
feat	dispelmagic	dispel_magic	buff	stamina	30		lich-5/lib/gemstone/psms/feat.rb:116
feat	dragonscaleskin	dragonscale_skin	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:124
feat	excoriate	excoriate	attack	mana	10		lich-5/lib/gemstone/psms/feat.rb:131
feat	guard	guard	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:138
feat	kroderinesoul	kroderine_soul	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:150
feat	lightarmor	light_armor_proficiency	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:157
feat	martialarts	martial_arts_mastery	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:164
feat	martialmastery	martial_mastery	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:171
feat	mentalacuity	mental_acuity	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:178
feat	mysticstrike	mystic_strike	buff	stamina	10		lich-5/lib/gemstone/psms/feat.rb:185
feat	tattoo	mystic_tattoo	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:192
feat	perfectself	perfect_self	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:199
feat	platearmor	plate_armor_proficiency	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:206
feat	protect	protect	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:213
feat	scalearmor	scale_armor_proficiency	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:225
feat	shadowdance	shadow_dance	buff	stamina	30		lich-5/lib/gemstone/psms/feat.rb:232
feat	silentstrike	silent_strike	attack	stamina	20		lich-5/lib/gemstone/psms/feat.rb:239
feat	vanish	vanish	buff	stamina	30		lich-5/lib/gemstone/psms/feat.rb:247
feat	weaponbonding	weapon_bonding	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:254
feat	wps	weighting	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:261
feat	wps	padding	passive	stamina	0		lich-5/lib/gemstone/psms/feat.rb:268
shield	bulwark	adamantine_bulwark	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:25
shield	blockspec	block_specialization	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:32
shield	blockelements	block_the_elements	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:39
shield	deflectmagic	deflect_magic	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:46
shield	deflectmissiles	deflect_missiles	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:53
shield	deflectelements	deflect_the_elements	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:60
shield	dpresence	disarming_presence	martial_stance	stamina	20		lich-5/lib/gemstone/psms/shield.rb:67
shield	gmastery	guard_mastery	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:75
shield	lfocus	large_shield_focus	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:82
shield	mfocus	medium_shield_focus	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:89
shield	phalanx	phalanx	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:96
shield	prop	prop_up	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:103
shield	pwall	protective_wall	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:110
shield	bash	shield_bash	setup	stamina	9		lich-5/lib/gemstone/psms/shield.rb:117
shield	charge	shield_charge	setup	stamina	14		lich-5/lib/gemstone/psms/shield.rb:124
shield	forward	shield_forward	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:131
shield	mind	shield_mind	buff	stamina	10		lich-5/lib/gemstone/psms/shield.rb:138
shield	pin	shield_pin	attack	stamina	15		lich-5/lib/gemstone/psms/shield.rb:145
shield	push	shield_push	setup	stamina	7		lich-5/lib/gemstone/psms/shield.rb:152
shield	riposte	shield_riposte	martial_stance	stamina	20		lich-5/lib/gemstone/psms/shield.rb:159
shield	spikemastery	shield_spike_mastery	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:167
shield	strike	shield_strike	attack	stamina	15		lich-5/lib/gemstone/psms/shield.rb:174
shield	strikemastery	shield_strike_mastery	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:181
shield	swiftness	shield_swiftness	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:188
shield	throw	shield_throw	area_of_effect	stamina	20		lich-5/lib/gemstone/psms/shield.rb:195
shield	trample	shield_trample	area_of_effect	stamina	14		lich-5/lib/gemstone/psms/shield.rb:202
shield	brawler	shielded_brawler	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:209
shield	sfocus	small_shield_focus	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:216
shield	spellblock	spell_block	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:223
shield	steady	steady_shield	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:230
shield	resolve	steely_resolve	buff	stamina	30		lich-5/lib/gemstone/psms/shield.rb:237
shield	tortoise	tortoise_stance	martial_stance	stamina	20		lich-5/lib/gemstone/psms/shield.rb:245
shield	tfocus	tower_shield_focus	passive	stamina	0		lich-5/lib/gemstone/psms/shield.rb:253
weapon	barrage	barrage	assault	stamina	15		lich-5/lib/gemstone/psms/weapon.rb:28
weapon	charge	charge	setup	stamina	14		lich-5/lib/gemstone/psms/weapon.rb:36
weapon	clash	clash	area_of_effect	stamina	20		lich-5/lib/gemstone/psms/weapon.rb:42
weapon	clobber	clobber	reaction	stamina	0		lich-5/lib/gemstone/psms/weapon.rb:48
weapon	cripple	cripple	setup	stamina	7		lich-5/lib/gemstone/psms/weapon.rb:54
weapon	cyclone	cyclone	area_of_effect	stamina	20		lich-5/lib/gemstone/psms/weapon.rb:60
weapon	dizzyingswing	dizzying_swing	setup	stamina	7		lich-5/lib/gemstone/psms/weapon.rb:66
weapon	flurry	flurry	assault	stamina	15		lich-5/lib/gemstone/psms/weapon.rb:73
weapon	fury	fury	assault	stamina	15		lich-5/lib/gemstone/psms/weapon.rb:81
weapon	gthrusts	guardant_thrusts	assault	stamina	15		lich-5/lib/gemstone/psms/weapon.rb:89
weapon	overpower	overpower	reaction	stamina	0		lich-5/lib/gemstone/psms/weapon.rb:96
weapon	pindown	pin_down	area_of_effect	stamina	14		lich-5/lib/gemstone/psms/weapon.rb:102
weapon	pulverize	pulverize	area_of_effect	stamina	20		lich-5/lib/gemstone/psms/weapon.rb:109
weapon	pummel	pummel	assault	stamina	15		lich-5/lib/gemstone/psms/weapon.rb:115
weapon	radialsweep	radial_sweep	reaction	stamina	0		lich-5/lib/gemstone/psms/weapon.rb:123
weapon	reactiveshot	reactive_shot	reaction	stamina	0		lich-5/lib/gemstone/psms/weapon.rb:130
weapon	reversestrike	reverse_strike	reaction	stamina	0		lich-5/lib/gemstone/psms/weapon.rb:137
weapon	riposte	riposte	reaction	stamina	0		lich-5/lib/gemstone/psms/weapon.rb:144
weapon	spinkick	spin_kick	reaction	stamina	0		lich-5/lib/gemstone/psms/weapon.rb:150
weapon	thrash	thrash	assault	stamina	15		lich-5/lib/gemstone/psms/weapon.rb:157
weapon	twinhammer	twin_hammerfists	setup	stamina	7		lich-5/lib/gemstone/psms/weapon.rb:163
weapon	volley	volley	area_of_effect	stamina	20		lich-5/lib/gemstone/psms/weapon.rb:170
weapon	wblade	whirling_blade	area_of_effect	stamina	20		lich-5/lib/gemstone/psms/weapon.rb:176
weapon	whirlwind	whirlwind	area_of_effect	stamina	20		lich-5/lib/gemstone/psms/weapon.rb:183
warcry	bellow	bertrandts_bellow	setup	stamina	20		lich-5/lib/gemstone/psms/warcry.rb:27
warcry	yowlp	yerties_yowlp	buff	stamina	20		lich-5/lib/gemstone/psms/warcry.rb:34
warcry	growl	gerrelles_growl	setup	stamina	14		lich-5/lib/gemstone/psms/warcry.rb:42
warcry	shout	seanettes_shout	buff	stamina	20		lich-5/lib/gemstone/psms/warcry.rb:49
warcry	cry	carns_cry	setup	stamina	20		lich-5/lib/gemstone/psms/warcry.rb:57
warcry	holler	horlands_holler	buff	stamina	20		lich-5/lib/gemstone/psms/warcry.rb:64
