creature_id	category	name	as	as_raw	cs	cs_raw	note	type
black_forest_ogre	physical	Rust-covered dhara	336					
black_forest_ogre	bolt_spell	Hand of Tonis (505)	379					
black_forest_ogre	bolt_spell	Minor Acid (904)	379					
black_forest_ogre	bolt_spell	Minor Fire (906)	379					
black_forest_ogre	bolt_spell	Major Cold (907)	379					
black_forest_ogre	warding_spell	Cold Snap (512)			222			
black_forest_ogre	offensive_spell	Elemental Dispel (417)						
black_forest_ogre	offensive_spell	Tremors (909)						
black_forest_ogre	offensive_spell	Call Wind (912)						
black_forest_ogre	offensive_spell	Elemental Focus (513)						
black_forest_ogre	offensive_spell	Elemental Targeting (425)						
black_forest_ogre	maneuver	Cheapshots						
black_forest_ogre	maneuver	Swiftkick						
black_forest_ogre	maneuver	Stomp						
black_forest_ogre	special_ability	Familiar Gate (930)						
black_forest_ogre	special_ability	Foam						
black_forest_viper	physical	Bite	340					
black_forest_viper	maneuver	Venomous spit						
black_forest_viper	maneuver	Spit						
black_leopard	physical	Claw	134..168					
black_leopard	physical	Bite	128..168					
black_leopard	maneuver	Pounce						
black_leopard	maneuver	Leap						
black_rolton	physical	Bite	23					
black_rolton	physical	Unknown	36					
black_winged_daggerbeak	physical	Bite	36					
black_winged_daggerbeak	physical	Unknown	36					
blackened_decaying_tumbleweed	physical	Stinger (attack)						
blackened_decaying_tumbleweed	physical	Stinger	252					
blackened_decaying_tumbleweed	maneuver	Tumbleweed roll						
blazing_red_phoenix	physical	Claw (attack)	330..390					
blazing_red_phoenix	physical	Bite (attack)	380					
blazing_red_phoenix	physical	Beak	375					
blazing_red_phoenix	physical	Beak of flame	393					
blazing_red_phoenix	physical	Flaming maw	396					
blazing_red_phoenix	physical	Lash	402					
blazing_red_phoenix	physical	Roaring ball of fire	357					
blazing_red_phoenix	physical	Sharp beak	377					
blazing_red_phoenix	physical	Stream of fire	361					
blazing_red_phoenix	bolt_spell	Major Fire (908)	345					
blazing_red_phoenix	warding_spell	Immolation (519)			377			
blazing_red_phoenix	offensive_spell	Firestorm (1715)						
blazing_red_phoenix	offensive_spell	Major Elemental Wave (435)						
blazing_red_phoenix	maneuver	Ethereal Wave						
blazing_red_phoenix	maneuver	Shield Bash						
bloated_kiramon_broodtender	physical	Barbed stinger	557					
bloated_kiramon_broodtender	physical	Bladed forelegs	523					
bloated_kiramon_broodtender	maneuver	Leap						
blood_eagle	physical	Claw	100					
blood_eagle	physical	Bite						
blood_eagle	physical	Pound						
blood_eagle	physical	Ensnare	96					
blood_eagle	physical	Black fists	86					
blood_eagle	special_ability	Carry and drop prey while in flight						
bloody_halfling_cannibal	physical	bite	474					
bloody_halfling_cannibal	physical	grimy little fists	464..544					
bloody_halfling_cannibal	physical	hurtle	327..564					
bloody_halfling_cannibal	physical	wiry arms	464..544					
bloody_halfling_cannibal	physical	Clawed fists	475..585					
bloody_halfling_cannibal	physical	Feras mattock	489					
bloody_halfling_cannibal	physical	Twisted obsidian dagger	584..606					
bloody_halfling_cannibal	physical	Charge	529					
bloody_halfling_cannibal	physical	Huge hooves	525					
bloody_halfling_cannibal	physical	Shark-like teeth	505..573					
bloody_halfling_cannibal	physical	Tusks	531..544					
bloody_halfling_cannibal	physical	Lunge	520					
bloody_halfling_cannibal	maneuver	cannibalize						
bloody_halfling_cannibal	special_ability	hunger					+80 AS	
bloody_halfling_cannibal	special_ability	frenzy						
blubbery_humpbacked_merrow	special_ability	Charm Toxin						
blubbery_humpbacked_merrow	special_ability	Reactive Spines						
blubbery_humpbacked_merrow	special_ability	Regenerate						
bobcat	physical	Bite (attack)	80					
bobcat	physical	Claw (attack)	90					
bobcat	physical	Charge (attack)	90					
bobcat	physical	Bite	72					
bobcat	physical	Claw	81					
bobcat	maneuver	Leap						
bog_spectre	physical	Claw	242..269					
bog_spectre	physical	Ensnare	220..275					
bog_spectre	warding_spell	Corrupt Essence (703)			226			
bog_spectre	warding_spell	Disintegrate (705)						
bog_spectre	warding_spell	Grasp of the Grave (709)						
bog_spectre	special_ability	Gaze Attack						
bog_troll	physical	Thick Wooden Knurl	244..314					
bog_troll	physical	Claw	234					
bog_wight	physical	Bite	270..274					
bog_wight	physical	Claw	204..284					
bog_wraith	physical	Claw	216					
bog_wraith	physical	Ensnare	94..239					
bog_wraith	warding_spell	Ensnare			206			
bog_wraith	maneuver	Lash						
bone_golem	physical	Ensnare	97					
bone_golem	physical	Pound	107					
bone_golem	physical	Skeletal fist	97					
bone_golem	maneuver	Tail sweep						
bone_golem	maneuver	Tail Swipe						
bony_tenthsworn_occultist	warding_spell	Blood Burst (701)			274..283			
bony_tenthsworn_occultist	offensive_spell	Condemn (309)						
bony_tenthsworn_occultist	offensive_spell	Grasp of the Grave (709)						
bony_tenthsworn_occultist	maneuver	Crimson Smoke						
brackish_bilge_mass	physical	Huge black alloy greatsword	592					
branded_goliath_diviner	warding_spell	Mana Burst (1414)			369..396			
branded_goliath_diviner	warding_spell	Thought Lash (1210)			384..390			
branded_goliath_diviner	offensive_spell	Mystic Impedance (1708)						
branded_goliath_diviner	special_ability	Runestone						
branded_goliath_diviner	special_ability	Fate Shadows						
branded_goliath_diviner	special_ability	Doom Sign						
branded_goliath_diviner	special_ability	Force Burst						
branded_goliath_diviner	special_ability	Time Spike						
brawny_gigas_shield-maiden	physical	shield strike	525..566					
brawny_gigas_shield-maiden	physical	spear	525..590					
brawny_gigas_shield-maiden	physical	Charge	529					
brawny_gigas_shield-maiden	physical	Enormous tusks	529..538					
brawny_gigas_shield-maiden	physical	Golden targe	536..590					
brawny_gigas_shield-maiden	physical	Immense fel-hafted handaxe	540..566					
brawny_gigas_shield-maiden	physical	Lunge	524..570					
brawny_gigas_shield-maiden	warding_spell	aura of the arkati (1614)			440..482			
brawny_gigas_shield-maiden	warding_spell	judgment (1630)			443..482			
brawny_gigas_shield-maiden	warding_spell	Shield Bash			443			
brawny_gigas_shield-maiden	maneuver	shield bash						
brawny_gigas_shield-maiden	maneuver	shield push						
brawny_gigas_shield-maiden	maneuver	shield trample						
bresnahanini_rolton	physical	Bite (attack)	60					
bresnahanini_rolton	physical	Charge (attack)	70					
bresnahanini_rolton	physical	Bite	48..50					
bresnahanini_rolton	physical	Charge	63					
bristly_black_tapir	physical	Bite	184..232					
bristly_black_tapir	physical	Charge (attack)	194..242					
bristly_black_tapir	maneuver	Charge						
bristly_black_tapir	special_ability	Charge						
brown_boar	physical	Bite	121..171					
brown_boar	physical	Charge (attack)	187					
brown_boar	physical	Charge	151					
brown_boar	special_ability	Charge						
brown_gak	physical	Impale	48					
brown_gak	physical	Tusk	43					
brown_spinner	physical	Claw						
brown_spinner	physical	Pincer (attack)						
brown_spinner	physical	Pincer	107					
brown_spinner	maneuver	Web						
brown_spinner	special_ability	Web						
burly_goliath_engineer	offensive_spell	Interference (212)						
burly_goliath_engineer	maneuver	Bearhug						
burly_goliath_engineer	maneuver	Sucker Punch						
burly_goliath_engineer	special_ability	Hand Cannon						
burly_goliath_engineer	special_ability	Mech Vine						
burly_goliath_engineer	special_ability	Shard Bomb						
burly_goliath_engineer	special_ability	Bombing Run						
burly_reiver	physical	Steel dirk	232					
cadaverous_tatterdemalion_ghast	physical	Claw (attack)	484					
cadaverous_tatterdemalion_ghast	physical	Pound (attack)	484					
cadaverous_tatterdemalion_ghast	physical	Bite	524..555					
cadaverous_tatterdemalion_ghast	physical	Fist	484..519					
cadaverous_tatterdemalion_ghast	physical	Kick	530					
cadaverous_tatterdemalion_ghast	physical	Charge	565					
cadaverous_tatterdemalion_ghast	maneuver	Tackle						
cadaverous_tatterdemalion_ghast	maneuver	Swiftkick						
cadaverous_tatterdemalion_ghast	maneuver	Pounce						
cadaverous_tatterdemalion_ghast	special_ability	Leap						
caedera	physical	Bite	369..411					
caedera	physical	Charge (attack)						
caedera	physical	Ensnare (attack)						
caedera	physical	Charge	421					
caedera	physical	Ensnare	421					
caedera	maneuver	Burrow						
caedera	maneuver	Burrow Ambush						
carceris	physical	Major Cold (907)	160					
carceris	physical	Major Fire (908)	160					
carceris	physical	Major Shock (910)	160					
carceris	physical	Bite	189					
carceris	physical	Claw	139					
carceris	offensive_spell	Elemental Wave (410)						
carceris	offensive_spell	Earthen Fury (917)						
carceris	maneuver	Gesture						
caribou	physical	Charge	238					
caribou	physical	Kick	232					
caribou	physical	(quarantine-recovered)	238					
caribou	physical	Antlers	238					
carrion_worm	physical	Charge	39					
carrion_worm	physical	Bite	29					
carrion_worm	physical	Unknown	29					
cave_bear	physical	Claw	217..227					
cave_bear	physical	Bite	202..225					
cave_gnoll	physical	Scimitar	58..68					
cave_gnoll	physical	Unknown	73					
cave_gnoll	physical	Closed fist	52					
cave_gnome	physical	Cudgel	52					
cave_gnome	physical	Handaxe	52					
cave_gnome	physical	Short sword	46..52					
cave_gnome	physical	Unknown	52					
cave_gnome	physical	Closed fist	42					
cave_lizard	physical	Claw	183..203					
cave_lizard	physical	Bite	189					
cave_lizard	maneuver	Tail Sweep						
cave_lizard	maneuver	Tail Swipe						
cave_nipper	physical	Charge	43..63					
cave_nipper	physical	Unknown	53					
cave_nipper	physical	Claw	53					
cave_troll	physical	Short sword	191					
cave_troll	physical	Spear	191					
cave_troll	physical	Pitted battle axe	191					
cave_troll	physical	Unknown	191					
cave_troll	maneuver	Web						
cave_worm	physical	Ensnare	139					
cave_worm	physical	Bite	129					
cave_worm	physical	Charge (attack)	139					
cave_worm	physical	Charge	119					
centaur	physical	Longsword	208					
centaur	physical	Greatsword	208					
centaur	physical	Scimitar	166					
centaur	maneuver	Kick						
centaur	maneuver	Bull Rush						
centaur	maneuver	Charge						
centaur	maneuver	Tail Swipe						
centaur_ranger	physical	Long bow	208					
centaur_ranger	physical	Plain wooden arrow	209					
centaur_ranger	offensive_spell	Call Swarm (615)						
centaur_ranger	offensive_spell	Sounds (607)						
centaur_ranger	offensive_spell	Tangleweed (610)						
centaur_ranger	maneuver	Kick						
chitinous_kiramon_myrmidon	physical	Bite						
chitinous_kiramon_myrmidon	physical	Pincer (attack)						
chitinous_kiramon_myrmidon	physical	Bladed forelegs	532..541					
chitinous_kiramon_myrmidon	maneuver	Feint						
chitinous_kiramon_myrmidon	maneuver	Headbutt						
chitinous_kiramon_myrmidon	maneuver	Crowd Press						
chitinous_kiramon_myrmidon	maneuver	Charge						
chitinous_kiramon_myrmidon	special_ability	Kiramon lunge						
chitinous_kiramon_myrmidon	special_ability	Durable Carapace						
chitinous_kiramon_myrmidon	special_ability	Chitin Disarm						
cinder_wasp	physical	Stinger (attack)	276					
cinder_wasp	physical	Stinger	276					
cinereous_chthonian_sybil	bolt_spell	Astral Spear (1408)	569					
cinereous_chthonian_sybil	warding_spell	Dark Catalyst (719)			557			
cinereous_chthonian_sybil	warding_spell	Mindwipe (1225)			536			
cinereous_chthonian_sybil	offensive_spell	Condemn (309)						
cinereous_chthonian_sybil	offensive_spell	Meteor Swarm (525)						
cloud_sprite_bully	physical	Mace	185..235					
cloud_sprite_bully	maneuver	Groin Kick						
cloud_sprite_bully	maneuver	Kneebash						
cloud_sprite_bully	maneuver	Footstomp						
cloud_sprite_bully	maneuver	Kick						
cloud_sprite_meddler	physical	Short bow	216					
cloud_sprite_meddler	physical	Wooden mace	209					
cloud_sprite_meddler	warding_spell	Sleep (501)			149			
cloud_sprite_meddler	warding_spell	Slow (504)			149			
cloud_sprite_meddler	warding_spell	Unknown			149			
cloud_sprite_meddler	offensive_spell	Sounds (607)						
cloud_sprite_meddler	offensive_spell	Call Swarm (615)						
cobra	physical	Bite	68					
cockatrice	physical	Claw (attack)	99					
cockatrice	physical	Pincer (attack)	99					
cockatrice	physical	Charge (attack)	109					
cockatrice	physical	Strike	80..99					
cockatrice	maneuver	Dust Kick						
coconut_crab	physical	Claw	43					
coconut_crab	physical	Unknown	53					
cold_guardian	physical	Closed fist	240					
cold_guardian	physical	Charge	220					
cold_guardian	bolt_spell	Major Cold (907)	193					
colossal_boreal_undansormr	physical	Crush	594..624					
colossus_vulture	physical	Bite	235					
colossus_vulture	physical	Claw	220..245					
colossus_vulture	physical	Impale	235					
colossus_vulture	physical	Swoop	220..245					
colossus_vulture	physical	Beak	211					
colossus_vulture	maneuver	Wing Buffet						
colossus_vulture	special_ability	Wing buffet						
cook_s_assistant	physical	Quarterstaff	208					
cook_s_assistant	physical	Cleaver	188					
cook_s_assistant	bolt_spell	Minor Acid (904)	194					
cook_s_assistant	offensive_spell	Call Wind (912)						
cook_s_assistant	offensive_spell	Elemental Dispel (417)						
cook_s_assistant	offensive_spell	Elemental Wave (410)						
cook_s_assistant	offensive_spell	Gas cloud						
corpulent_kresh_ravager	physical	Bladed forelegs	532					
corpulent_kresh_ravager	special_ability	Keening Cry						
corpulent_kresh_ravager	special_ability	Acid Blood						
corpulent_kresh_ravager	special_ability	Giant Fall						
cougar	physical	Bite	196..203					
cougar	physical	Claw	208					
cougar	maneuver	Charge						
cougar	maneuver	Kick						
cougar	maneuver	Leap						
coyote	physical	Bite	76..95					
coyote	physical	Charge	85..95					
crackling_lightning_fiend	physical	Lightning Torrent(?)						
crackling_lightning_fiend	physical	Crackling blue and golden spark	317					
crackling_lightning_fiend	maneuver	Jagged Jolt(?)						
crackling_lightning_fiend	maneuver	Charge						
crackling_lightning_fiend	maneuver	Ethereal Wave						
crackling_lightning_fiend	maneuver	Ground Slam						
crazed_canine	physical	Bite	94..118					
crazed_canine	physical	Charge (attack)	128					
crazed_canine	physical	Charge	128					
crazed_canine	special_ability	Leap maneuver						
crazed_zombie	physical	Bite	181..202					
crazed_zombie	physical	Claw	202					
crested_basilisk	physical	Bite	206..220					
crested_basilisk	physical	Claw	221					
crested_basilisk	special_ability	Paralyzing Gaze						
crocodile	physical	Charge (attack)	137					
crocodile	physical	Bite	127					
crocodile	physical	Charge	70..137					
crocodile	special_ability	Disease (on hit)						
crystal_crab	physical	Ensnare	109..122					
crystal_crab	physical	Claw	100..112					
crystal_golem	physical	Ensnare	140					
crystal_golem	physical	Pound	134					
crystal_golem	physical	Stomp	144					
crystal_golem	physical	Crystalline fist	117					
crystal_golem	maneuver	Foot stomp						
crystal_golem	maneuver	Ground Slam						
csetairi	physical	Scimitar	369..417					
csetairi	bolt_spell	Major Fire (908)	352					
csetairi	warding_spell	Web (118)			329			
csetairi	warding_spell	Bind (214)			329			
csetairi	warding_spell	Frenzy (216)			329			
csetairi	offensive_spell	Bravery (211)						
csetairi	offensive_spell	Heroism (215)						
csetairi	maneuver	Multi-strike						
csetairi	maneuver	Dispel						
csetairi	maneuver	Point						
csetairi	maneuver	Air Blast						
cyclops	physical	Cudgel	238					
cyclops	physical	Pound (attack)	238					
cyclops	physical	Stomp (attack)	238					
cyclops	physical	Splintered tree trunk	187					
cyclops	physical	Fist	175					
dark_apparition	physical	Bite	48					
dark_apparition	physical	Claw	58					
dark_apparition	warding_spell	Blood Burst (701)			46			
dark_apparition	warding_spell	Mana Disruption (702)			46			
dark_apparition	warding_spell	Bite			46			
dark_apparition	warding_spell	Claw			46			
dark_frosty_plant	physical	ranged: frosty seed	260					
dark_frosty_plant	physical	Frost-covered crystalline flower	138..260					
dark_frosty_plant	physical	melee: stab	260					
dark_frosty_plant	physical	Stinger	242					
dark_frosty_plant	maneuver	Point						
dark_orc	physical	Halberd	147..157					
dark_orc	physical	Scimitar	157					
dark_orc	physical	Morning star	157					
dark_orc	physical	Falchion	157					
dark_panther	physical	Claw	178..198					
dark_panther	physical	Bite	198					
dark_panther	maneuver	Leap						
dark_shambler	physical	Two-handed sword	175					
dark_shambler	physical	Immense dark steel bidenhander	165					
dark_shambler	physical	Twohanded sword	175					
dark_shambler	physical	Broadsword	175					
dark_vortece	warding_spell	Unknown			224			
dark_vysan	physical	Ensnare	54					
dark_vysan	physical	Pound	44					
dark_vysan	physical	Charge (attack)	54					
dark_vysan	physical	Fist	44					
dark_vysan	physical	Unknown	44					
dark_vysan	physical	Charge	54					
darkly_inked_fetish_master	warding_spell	Silence (210)						
darkly_inked_fetish_master	warding_spell	Unbalance (110)			455			
darkly_inked_fetish_master	offensive_spell	Sounds (607)						
darkly_inked_fetish_master	offensive_spell	Spike Thorn (616)						
darkwoode	physical	Claw	127					
darkwoode	physical	Ensnare	137					
darkwoode	bolt_spell	Minor Water (903)	125					
darkwoode	bolt_spell	Major Shock (910)	125					
darkwoode	offensive_spell	Call Wind (912)						
darkwoode	offensive_spell	Tremors (909)						
darkwoode	maneuver	Mystic Gesture						
death_dirge	physical	Closed fist	98					
death_dirge	physical	Black scimitar	98					
death_dirge	warding_spell	Calm (201)			53			
death_dirge	warding_spell	Closed fist			49			
deathsworn_fanatic	physical	Major Fire	462					
deathsworn_fanatic	physical	Bronze cutlass	549					
deathsworn_fanatic	physical	Ensnare	413					
deathsworn_fanatic	physical	Heel of his hand	420					
deathsworn_fanatic	physical	Strike	459					
deathsworn_fanatic	warding_spell	Finger (Pestilence?)			431			
deathsworn_fanatic	warding_spell	Corrupt Essence (703)						
deathsworn_fanatic	warding_spell	Dark Catalyst (719)						
deathsworn_fanatic	warding_spell	Ensnare			443			
deathsworn_fanatic	maneuver	Disarm						
deathsworn_fanatic	maneuver	Strike						
decaying_citadel_guardsman	physical	Hammer of Kai	327					
decaying_citadel_guardsman	maneuver	Charge						
decaying_citadel_guardsman	maneuver	Trip						
decaying_citadel_guardsman	maneuver	Polearm Plant						
deranged_sentry	physical	Halberd	167					
deranged_sentry	maneuver	Disarm Weapon						
deranged_sentry	maneuver	Tackle						
deranged_sentry	maneuver	Trip						
deranged_sentry	maneuver	Halberd Sweep						
desiccated_half_krolvin_strigoi	physical	Closed fist						
desiccated_half_krolvin_strigoi	physical	Ensnare (attack)						
desiccated_half_krolvin_strigoi	special_ability	Vampire bite?						
dhu_goleras	physical	Dagger	379..387					
dhu_goleras	bolt_spell	Balefire (713)	364					
dhu_goleras	warding_spell	Bind (214)			342			
dhu_goleras	warding_spell	Blood Burst (701)			353			
dhu_goleras	warding_spell	Calm (201)			342			
dhu_goleras	warding_spell	Corrupt Essence (703)			353			
dhu_goleras	warding_spell	Curse (715)			353			
dhu_goleras	warding_spell	Dark Catalyst (719)			353			
dhu_goleras	warding_spell	Disintegrate (705)			353			
dhu_goleras	warding_spell	Limb Disruption (708)			353			
dhu_goleras	maneuver	Energy Maelstrom (710)						
dhu_goleras	maneuver	Quake (709)						
direbear	physical	Bite (attack)	349					
direbear	physical	Claw (attack)	340..355					
direbear	physical	Bite	270..280					
direbear	offensive_spell	Bertrandt's Bellow						
direbear	offensive_spell	Gerrelle's Growl						
direbear	offensive_spell	Red eyes (AS boost)						
direbear	maneuver	Bearhug						
direbear	maneuver	Charge						
disfigured_hive_thrall	physical	Charge						
disfigured_hive_thrall	physical	Claw						
disfigured_hive_thrall	physical	Barbed stinger	557					
disfigured_hive_thrall	bolt_spell	Major Acid						
disfigured_hive_thrall	bolt_spell	Web bolt						
disfigured_hive_thrall	warding_spell	Wild Entropy						
disfigured_hive_thrall	warding_spell	Charge			447			
disfigured_hive_thrall	offensive_spell	Powersink						
disfigured_hive_thrall	maneuver	Bull Rush						
disfigured_hive_thrall	maneuver	Bearhug						
disfigured_hive_thrall	maneuver	Charge						
disfigured_hive_thrall	special_ability	Spirit Strike						
disfigured_hive_thrall	special_ability	Project Misery						
disfigured_hive_thrall	special_ability	Psychic Assault						
dobrem	physical	Bite						
dobrem	physical	Claw	198..249					
dobrem	maneuver	Canine lunge						
dobrem	maneuver	Lunge						
dreadnought_raptor	physical	Impale	271..274					
dreadnought_raptor	physical	Bite						
dreadnought_raptor	physical	Claw	275..281					
dreadnought_raptor	physical	Swoop	252..281					
dreadnought_raptor	physical	Beak	234					
dreadnought_raptor	maneuver	Wing Buffet						
dreadnought_raptor	special_ability	Buffet						
dybbuk	physical	Length of Rusted Chain	293..298					
earth_elemental	physical	Pound (attack)	401					
