edges	shape_id	sample	shape
60	c6689d8c4bdc5fb3	9884->13183	;e N.times { move S; break if Room.current.id == N }
1	ea6d1631fec16f4d	1216->1217	;e N.times { result = dothistimeout S, N, R; waitrt?; break if result =~ R }; move S
2	b4e18d95ed3839ce	5830->23525	;e N.times { result = dothistimeout S, N, R; waitrt?; break if result =~ R };move(S)
6	db836c3631a79e00	18043->18052	;e N.times { sleep N; break if GameObj.loot.any? { |obj| obj.name =~ R } }; unless GameObj.loot.any? { |obj| obj.name =~ R }; disk = Spell[..]; wait_until { disk.affordable? }; disk.cast; end; move S
1	5e0a949cc2e6e276	19377->25691	;e N.times{fput S;}
2	efa2451d3eccb0a0	36402->36403	;e N.times{fput S};fput S
1	fab36f444062f45e	36399->36414	;e N.times{fput S};move S
2	88d0ab912353f4f0	1223->1224	;e Spell[..].cast if Spell[..].known? and !Spell[..].active? and Spell[..].affordable?; empty_hands; fput S if Skills.climbing < N; move S; waitrt?; fput S; fill_hands
1	512d94dfb7ae758a	31073->29860	;e UserVars.mapdb_hinterwilds_location = S;multifput S,S,S;waitfor S
1	b6ecd89e129e4bd3	23830->29860	;e UserVars.mapdb_hinterwilds_location = S;multifput S,S,S;waitfor S,S,S;
2	4e4fb3f02a30d911	7892->24675	;e UserVars.mapdb_redforest_location = S;result = nil;until result =~ R;fput S until standing?;result = dothistimeout S, N, R;if result =~ R;sleep N;waitrt?;end;end
1	d9e6ede3530c25ef	24752->20423	;e [..].each{|d| move(d)};fput S;[..].each{|d| move(d)};fput S;move(S);
1	1fe75db2731df819	1242->1241	;e attempts = N;moved = false;loop do;waitrt?;moved = move(S);break if moved;fput S;attempts += N;break if attempts >= N;end;moved
1	d77a62cb50590fde	7517->8686	;e begin clear fput S climb_result = waitfor S, S fput S unless climb_result == S end until climb_result == S
2	6be51a9a96867eb4	10816->10815	;e begin fput S waitrt? end until Room.current.id == N
2	9cb64b045a97b9ae	4029->4027	;e begin move S end until Room.current.id == N
5	0ca172e41dc9c4aa	1219->1220	;e begin; fput S; search_result = waitfor S, S, S, S; waitrt?; end until search_result =~ R; move S
3	2b37882684421169	1230->30523	;e begin; search_result = dothistimeout S, N, R; waitrt?; end until search_result =~ R; move(S)
1	84978e16abb26f65	34509->7927	;e bleak_rooms = [..] ;bleak_rooms.map! { |r| Room[..].id } ;bleak_rooms.each { |r| ; options = {S: true} ; Script.run(S, S, options) unless Room.current.id == r ; if GameObj.loot.any? { |o| o.name == S } ; break ; end ;} ;move(S) ;$go2_restart = true
1	a6a786e1068046f2	6997->6998	;e bridgedown = false; until bridgedown; if [..].include?(Stats.race); fput S; else; fput S; end; bridgedown = matchtimeout(N, R); unless standing?; fput S; waitrt?; end; waitrt?; end; move S; $go2_restart = true if Room.current.id != N
4	17072c7981bd630f	2658->2647	;e clear put S loop { line = get if line =~ R if $N == S move S elsif $N == S move S elsif $N == S move S elsif $N == S move S else echo S exit end break end }
1	6c5362b688b645a2	30850->30851	;e color_moves = {S => S, S => S, S => S, S => S};GameObj.room_desc.find { |o| o.name =~ R };color = $N;move_order = color_moves[color].split(S);move_order.each { |w| move(w) };move(S);fput S;move(S);move_order.reverse.each { |w| move(reverse_direction(w)) };move(S)
6	27361d608a024986	12580->29048	;e cur_stance = XMLData.stance_text;empty_hands;fput(S) if cur_stance != S;move(S);fill_hands;fput(S + cur_stance) if cur_stance != S;$go2_restart = true
161	0c6937f0eb884ba5	25692->25691	;e direction=S;start=Room.current.id; dothistimeout S, N, R while Room.current.id == start
12	27654b4a650e8c09	25698->25811	;e direction=S;start=Room.current.id;dothistimeout S, N, R while Room.current.id == start
8	76422179a2d9d3c9	27860->27864	;e door=S;key=GameObj.inv.find{|k| k.name==S;};if !key.nil? then multifput S, S, S, S, S, S, S; end;
1	ba1be6a5762df382	24239->24240	;e echo S;line = get until line =~ R
1	0c5996eac6354782	24980->24804	;e echo S;line=get until line =~ R;fput S;fput S if standing?;line = fput S until line =~ R;dothistimeout S, N, R;line = fput S until line =~ R;dothistimeout S, N, R;fput S until standing?
1	a93b989f58d6fee3	15571->17721	;e elements = { S => { S => N, S => N, S => N }, S => { S => N, S => N, S => N }, S => { S => N, S => N, S => N } } direction = { S => S, S => S, S => S } result = nil [..].each { |element| truth_table = elements[element].values.find_all { |spellnum| Spell[spellnum].known? } if truth_table.size == N result = element break end } if result.nil? echo S exit end N.times{ move direction[result] } elements[result].each{ |pillar, spellnum| if !Spell[spellnum].affordable? echo S wait_until{ Spell[spellnum].affordable? } end Spell[spellnum].cast(pillar) }
1	6238de59f4021e04	7993->7997	;e empty_hand; fput S; move S; fill_hand
1	b8c5dd1978de8e96	20008->20011	;e empty_hand;fput S;fill_hand;fput S;fput S;echo S
2	7ab3bbde0643182a	18822->18823	;e empty_hand;fput(S);move(S)
1	e514c2e5bf147144	13960->30500	;e empty_hand;move(S)
1	f5869d9843da4f8b	2208->2209	;e empty_hands begin result = dothistimeout S, N, R waitrt? end until result.to_s !~ R fill_hands
1	90f57b35055cdaf5	11432->11433	;e empty_hands fput S if checkspell S move S
1	6193e94fa46b0a68	12613->12614	;e empty_hands fput S move S waitrt? fill_hands fput S unless standing?
1	430ffeb1699f148e	18186->18187	;e empty_hands if GameObj.right_hand.id or GameObj.left_hand.id;move(S)
2	0abec85879a668eb	11485->11442	;e empty_hands move S
1	59b5b3c94d7c5ac0	11355->11357	;e empty_hands old_stance = XMLData.stance_text fput S unless old_stance == S until !checkpaths fput S unless standing? fput S sleep N waitrt? end fput S + old_stance unless old_stance == S
2	a1208a77f898570f	21964->21967	;e empty_hands; N.times { move S }; fill_hands
2	b37a6f72295bce7f	6481->6484	;e empty_hands; while Room.current == Room[..]; put S; sleep N; waitrt?; end; fill_hands
1	c771c5d11662e455	19058->19075	;e empty_hands;fput S;move S
2	d987cf052ef0b78a	24149->24151	;e empty_hands;move S
1	1e183caae5cc50c7	18175->18176	;e empty_hands;move S;fill_hands
1	e4033469c5bde99b	18748->18747	;e eyespy = Spell[..]; unless eyespy.affordable?; echo S; wait_until { eyespy.affordable? }; end; eyespy.cast; for dir in [..]; fput S + dir; end; result = dothistimeout S, N, R; if rune = R.match(result).captures.first; fput S + rune + S; end; result = dothistimeout S, N, R; if rune = R.match(result).captures.first; fput S + rune + S; end; fput S
1	f238e92a4a54d0a1	14726->18172	;e flip_tags = !Script.current.want_downstream_xml; status_tags if flip_tags; go_result = dothistimeout S,N,R; status_tags if flip_tags; if go_result =~ R; climb_platform = false; refill_hands = false; move(S); while climb_platform == false; waitrt?; result = dothistimeout S, N, R; climb_platform = true if result =~ R; (refill_hands = true;empty_hands) if result =~ R; end; fill_hands if refill_hands == true; buffed = false; N.times{ turn_result = dothistimeout S,N,R if turn_result =~ R move(S) move(S) move(S) elsif buffed == false buffs = [..] buffs.each{|num| Spell[num].cast if Spell[num].known? and Spell[num].affordable?} buffed = true redo else; echo S echo S pause_script end } end
29	bd88f027f6e20089	8750->15995	;e fput S
1	16c85e77de75031c	17825->10434	;e fput S ; move S
2	71ced259fa33c260	6999->7000	;e fput S fput S fput S unless standing?
1	57e2c1bc6c276865	10844->10845	;e fput S if checkspell S move S
1	f234159eb0590c9c	7983->7984	;e fput S if checkspell(N); move S
4	8089603b7e3b152c	3727->3483	;e fput S if invisible?;move(S)
3	7f040004d09b2b30	2636->12093	;e fput S loop do result = dothistimeout(S, N, R) break if result =~ R break unless XMLData.room_description.empty? end sleep(N) while XMLData.room_description.empty? fput S unless standing?
1	aa2a1e160fca2505	4154->4168	;e fput S unless checkloot.include?(S); move S
37	f82adac7df6c8c6b	7459->7460	;e fput S unless kneeling? or (Stats.race =~ R); move S
1	85bfaf22839d7e6f	17680->10888	;e fput S unless standing?; move S
1	74aaed263a9bd232	30815->30816	;e fput S unless standing?;move(S); $go2_restart=true
1	256ff68d309d4892	26765->27623	;e fput S until GameObj.loot.find{|x| x.name == S}; fput S
1	e77dce3703d9b242	24241->20233	;e fput S until Room.current.id != N
1	ac5f8edde74d2ed6	24963->7602	;e fput S until Room.current.id == N
4	aedc518a0994e863	30581->30582	;e fput S until checkprone; result = dothistimeout S,N, R until result;waitrt?;fput S until standing?;waitrt?;fput S
1	06c2c55aef6728e6	24516->15651	;e fput S until kneeling?; move S
1	106391c98475bb73	8141->7905	;e fput S until kneeling?;fput S waitrt? fput S until standing?
2	c1d76332164f9579	22667->20347	;e fput S until standing?;move S
6	38ab424ae8139d60	992->1013	;e fput S waitfor S
1	21e0e89a60acd7b5	12589->12593	;e fput S waitfor S sleep N fput S unless standing? move S until Room.current.id == N
1	6660354d0d618de3	6880->6882	;e fput S waitrt? fput S move S
3	54ea36dff99883ec	7905->8141	;e fput S waitrt? fput S unless standing?
1	9549df88b3675f37	31527->31529	;e fput S waitrt? fput S waitrt? fput S move S
1	85b8a2f86b9dfeae	14060->20430	;e fput S while line = get if line =~ R break elsif line =~ R if GameObj.right_hand.type == S fput S break else echo S pause_script wait_until{GameObj.right_hand.name !~ R} fput S break end end end fput S
2	5552bd4642631904	23606->5924	;e fput S; fput S
1	0afaa959dfcd9524	10476->23601	;e fput S; fput S; fput S; fput S; fput S; fput S; fput S; fput S
1	66cf2abea0b79e7a	4583->4584	;e fput S; fput S; fput S; fput S; fput S; fput S; fput S; move S
9	14d9ee5157727cfb	1902->28704	;e fput S; fput S; move S
1	83455ef3e8acf765	11722->17692	;e fput S; fput S;move S
2	02051d1db28d0189	3495->18041	;e fput S; language = R.match(get).captures.first until language;; fput(S) unless language == S; fput(S) if hidden? or invisible?; move S; fput(S + language.to_s) unless language == S
1	0244142db3e2bf5a	32334->32362	;e fput S; move S
2	92c645a2acfe97d8	2925->2924	;e fput S; move S while Room.current.id == N
2	8734ebb64518cbc3	627->628	;e fput S; move S; fput S
1	112920df2d309f53	2645->2642	;e fput S; move S; sleep N; waitrt?
2	e2248fa28183a3fb	26595->26610	;e fput S; pause N; waitrt?
1	b0b48a5985a0a680	17805->18348	;e fput S; sleep N; fput S; waitrt?; fput S; waitrt?; fput S; waitrt?; move S
1	1e36d94c4bc3b699	8574->19651	;e fput S; sleep N; waitrt?; empty_hands; fput S; fput S; sleep N; waitrt?; fput S; fill_hands; move S
1	8fe5cc45262edc02	36396->36401	;e fput S; sleep N;waitrt?; move(S)
1	f8277b836970acb3	35614->35727	;e fput S; waitrt?; fput S
